0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006074,0.098727,0.143953,-0.091074,-0.091074,0.098727,0.155479,0.1082,0.151514,0.006074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.155479,0.0
0.18159,-0.066114,0.054519,0.051189,0.051189,-0.066114,0.255922,0.332189,0.092675,0.18159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.255922,0.0
-0.196098,0.174716,0.216254,-0.057982,-0.057982,0.174716,0.543851,0.161025,0.318444,-0.196098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.543851,0.0
-0.05578,0.0,-0.1606,-0.157537,-0.157537,0.0,0.468293,0.3768,-0.038935,-0.05578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.468293,0.0
0.133907,0.0,0.085439,0.094401,0.094401,0.0,0.412304,0.229605,0.0,0.133907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.412304,0.0
0.045857,0.0,0.337503,-0.198203,-0.198203,0.0,0.367085,0.0,0.0,0.045857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.367085,0.0
0.0,0.0,-0.041782,0.0,0.0,0.0,0.171232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.171232,0.0
0.0,0.0,0.016502,0.0,0.0,0.0,0.262057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.262057,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.048266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048266,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.301184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.301184,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.54292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54292,0.0
