PMSC,PMD
0.0,0.0
-0.17603,0.0
0.317888,0.0
0.317888,0.0
0.607725,0.0
1.57976,0.0
-0.12057,0.0
0.94019,0.0
0.2118,0.0
0.2118,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
