30,29,29,29,28,28,27,31,27,27,28,31,32,32,31,31,32,31,31,25,23,24,23,24,24,27,26,18,16,27
50,49,49,49,48,48,47,52,46,47,48,53,54,54,52,52,54,50,51,41,39,44,43,44,44,50,53,36,37,50
45,45,45,45,44,44,43,48,43,43,44,49,50,50,49,49,49,47,47,39,36,40,39,40,39,45,41,33,34,45
41,41,41,41,40,40,39,42,39,39,40,44,45,45,45,45,45,43,44,36,33,36,36,37,38,41,38,30,31,41
38,37,37,37,36,37,37,40,35,36,37,41,41,42,40,40,41,40,40,33,30,33,31,32,31,36,34,32,27,36
38,37,37,37,36,36,36,38,36,35,37,41,41,41,40,40,41,40,40,33,32,32,32,34,33,38,35,26,28,38
41,41,41,41,40,40,39,45,37,38,39,43,44,46,43,43,45,43,43,35,33,35,35,36,36,41,37,30,32,41
38,37,37,37,37,37,37,41,33,37,37,41,41,42,39,39,41,40,40,33,32,33,33,34,33,38,35,28,32,38
31,29,30,31,29,30,29,33,31,30,29,34,34,35,34,34,35,33,33,27,23,26,26,27,26,31,26,19,23,31
45,45,45,45,44,44,43,48,41,42,43,47,48,50,47,47,46,44,44,36,34,37,37,38,37,43,34,30,33,43
50,49,49,49,48,48,47,52,46,47,48,53,54,54,52,52,54,50,51,41,39,44,43,44,44,50,53,36,37,50
