species_index,AZBIAS,BZBIAS,MPCRSI
1,0.0,0.0,0
2,0.0,0.0,0
3,-0.86001,0.01051,1
4,0.0,0.0,0
5,-0.84735,0.01102,1
6,0.0,0.0,0
7,0.40153,-0.0078,0
8,-0.84735,0.01102,1
9,0.89035,-0.01331,1
10,0.0,0.0,0
11,0.0,0.0,0
12,0.0,0.0,0
13,0.0,0.0,0
14,0.0,0.0,0
15,0.0,0.0,0
16,0.0,0.0,0
17,0.0,0.0,0
18,0.0,0.0,0
19,0.0,0.0,0
20,0.0,0.0,0
21,0.0,0.0,0
22,0.0,0.0,0
23,0.0,0.0,0
24,0.0,0.0,0
