species_index,code_alpha,code_fia,code_plants,site_lo,site_hi,dbh_max,bark1,bark2,bark_imap,st_dgmax,st_xmax,st_xmin,st_diam,st_htadj,st_break,ht1,ht2,wykoff_ht2,mort_bkgd_intercept,mort_bkgd_dbh,sdi_max_default,stump,top_dib,dbh_min,scf_min_dbh,scf_top_dib,scf_stump,bf_min_dbh,bf_top_dib,bf_stump,htdbh_iwykca,htdbh_ht1,htdbh_ht2,htdbh_p2,htdbh_p3,htdbh_p4,htdbh_db,varmrt_varadj,is_sprouting,dg_resid_sd
11,PI,106,PIED,5.0,20.0,30.0,0.0,0.0,1,2.0,199.0,99.0,0.4,1.0,99.0,3.2,-5.0,-5.1651,5.1677,-0.0077681,348.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,4.192,-5.1651,0.0,0.0,0.0,0.0,0.7,0,0.2
12,WJ,064,JUOC,5.0,15.0,50.0,0.0,0.0,1,2.0,199.0,99.0,0.3,1.0,99.0,3.2,-5.0,-5.1651,5.1677,-0.0077681,411.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,4.192,-5.1651,0.0,0.0,0.0,0.0,0.7,0,0.2
13,GO,814,QUGA,5.0,20.0,20.0,0.93789,-0.24096,3,2.0,199.0,99.0,0.3,1.0,99.0,3.2,-5.0,-5.1651,5.9617,-0.0340128,652.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,4.192,-5.1651,0.0,0.0,0.0,0.0,0.7,1,0.2
14,PM,133,PIMO,5.0,20.0,30.0,0.0,0.0,1,2.0,199.0,99.0,0.4,1.0,99.0,3.2,-5.0,-5.1651,5.1677,-0.0077681,358.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,4.192,-5.1651,0.0,0.0,0.0,0.0,0.7,0,0.2
15,RM,066,JUSC2,5.0,15.0,50.0,0.0,0.0,1,2.0,199.0,99.0,0.3,1.0,99.0,3.2,-5.0,-5.1651,5.1677,-0.0077681,411.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,4.192,-5.1651,0.0,0.0,0.0,0.0,0.7,0,0.2
16,UJ,065,JUOS,5.0,15.0,50.0,0.0,0.0,1,2.0,199.0,99.0,0.3,1.0,99.0,3.2,-5.0,-5.1651,5.1677,-0.0077681,497.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,4.192,-5.1651,0.0,0.0,0.0,0.0,0.7,0,0.2
17,GB,142,PILO,20.0,60.0,30.0,0.9625,-0.1141,3,2.0,199.0,99.0,0.4,1.0,99.0,4.192,-5.1651,-5.1651,5.1677,-0.0077681,358.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,4.192,-5.1651,0.0,0.0,0.0,0.0,0.7,0,0.2
18,NC,749,POAN3,30.0,120.0,36.0,0.892,-0.086,3,2.5,2.0,0.5,0.3,1.0,1.0,4.4421,-6.5405,-6.5405,5.9617,-0.0340128,452.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,4.4421,-6.5405,0.0,0.0,0.0,0.0,0.9,1,0.2
19,FC,748,POFR2,30.0,90.0,36.0,0.892,-0.086,3,2.5,2.0,0.5,0.3,1.0,1.0,4.4421,-6.5405,-6.5405,5.9617,-0.0340128,452.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,4.4421,-6.5405,0.0,0.0,0.0,0.0,0.9,1,0.2
20,MC,475,CELE3,5.0,15.0,20.0,0.9,0.0,2,2.0,199.0,99.0,0.3,1.0,99.0,5.152,-13.576,-5.1651,5.9617,-0.0340128,284.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,4.192,-5.1651,0.0,0.0,0.0,0.0,0.7,1,0.5357
21,BI,322,ACGR3,5.0,30.0,20.0,0.94782,0.0836,3,2.5,2.0,0.5,0.2,1.0,1.0,4.7,-6.326,-6.5405,5.9617,-0.0340128,452.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,4.4421,-6.5405,0.0,0.0,0.0,0.0,0.9,0,0.5107
22,BE,313,ACNE2,15.0,40.0,20.0,0.892,-0.086,3,2.5,2.0,0.5,0.2,1.0,1.0,4.4421,-6.5405,-6.5405,5.9617,-0.0340128,452.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,4.4421,-6.5405,0.0,0.0,0.0,0.0,0.9,0,0.2
23,OS,299,2TN,15.0,32.0,20.0,0.9625,-0.1141,3,2.8,2.0,0.5,0.2,1.0,1.0,4.2597,-9.3949,-9.3949,5.1677,-0.0077681,348.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,4.2597,-9.3949,0.0,0.0,0.0,0.0,0.7,0,0.4671
24,OH,998,2TB,5.0,20.0,20.0,0.93789,-0.24096,3,2.5,2.0,0.5,0.2,1.0,1.0,3.2,-5.0,-6.5405,5.9617,-0.0340128,452.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,4.4421,-6.5405,0.0,0.0,0.0,0.0,0.9,0,0.2
