variant,regime,cn,n_cycles,bit_exact,div_cols,worst_col,worst_cycle,max_rel_pct,max_abs_diff,struct_max_rel_pct,vol_max_rel_pct,density_bitexact,converges,signature
SN,none,1561746451290487,6,false,TPA|BA|SDI|CCF|TopHt|QMD|TCuFt|MCuFt,TopHt,2038,6.522,122.0,6.522,5.641,false,false,structure_densephase
SN,none,163921016010854,6,false,TCuFt|MCuFt|SCuFt|BdFt,SCuFt,2001,1.422,177.0,0.0,1.422,true,false,volume_persistent
SN,none,163923098010854,6,false,TPA|BA|SDI|CCF|TopHt|QMD|TCuFt|MCuFt,TopHt,1976,4.348,14.0,4.348,3.896,true,false,volume_persistent
SN,none,163925852010854,6,false,SDI|TopHt|TCuFt|MCuFt|SCuFt|BdFt,TopHt,1976,3.774,24.0,3.774,1.868,false,true,structure_densephase
SN,none,1639510399290487,6,false,TPA|BA|SDI|CCF|TCuFt|MCuFt|SCuFt|BdFt,SCuFt,2048,1.818,3.0,0.694,1.818,true,false,volume_persistent
SN,none,164089238010854,6,false,BA|SDI|TopHt|TCuFt|MCuFt|SCuFt|BdFt,SCuFt,1995,1.753,196.0,1.19,1.753,true,false,volume_persistent
SN,none,164089809010854,6,false,SDI|CCF|TopHt|TCuFt|MCuFt|SCuFt|BdFt,BdFt,2000,4.248,61.0,3.226,4.248,false,true,structure_densephase
SN,none,164246339010854,6,false,SDI|TCuFt|MCuFt|SCuFt|BdFt,BdFt,2016,1.742,88.0,0.588,1.742,true,false,volume_persistent
SN,none,1830066930290487,6,false,TPA|BA|SDI|CCF|QMD|TCuFt|MCuFt|SCuFt|BdFt,QMD,2034,2.857,17.0,2.857,0.494,false,true,structure_densephase
SN,none,199191763020004,6,false,TPA|CCF|QMD|TCuFt|MCuFt|SCuFt|BdFt,TPA,2037,3.717,307.0,3.717,1.5,false,false,structure_densephase
SN,none,199192226020004,6,false,TPA|BA|SDI|CCF|TopHt|QMD|TCuFt|MCuFt|SCuFt|BdFt,TopHt,2017,4.412,190.0,4.412,1.237,false,true,structure_densephase
