species_index,htdbh_p2,htdbh_p3,htdbh_p4,htdbh_db,htdbh_ht1,htdbh_ht2,htdbh_iwykca
84,408.2772475,3.8180829,-0.2721051,0.1,4.4911,-5.7928,0
85,484.7529797,3.9393329,-0.2599883,0.1,4.4207,-5.1435,0
86,109.7324294,2.250258,-0.4129746,0.2,4.0322,-3.0833,1
87,103.1767713,2.2169549,-0.3596216,0.2,3.7512,-2.5539,0
88,863.0501053,4.3856024,-0.1481218,0.1,3.7301,-2.7758,0
89,484.7529797,3.9393329,-0.2599883,0.1,4.4207,-5.1435,0
90,526.1392688,3.8923212,-0.2258708,0.1,4.4772,-4.7206,0
91,109.7324294,2.250258,-0.4129746,0.2,4.0322,-3.0833,0
92,660.1996521,3.920771,-0.2112435,0.2,4.6067,-5.203,1
93,184.1931837,2.8456912,-0.3695251,0.2,4.3609,-4.1423,0
94,750.1823388,4.1426275,-0.1594072,0.2,3.9613,-3.1993,0
95,109.7324294,2.250258,-0.4129746,0.2,4.0322,-3.0833,0
96,690.4917743,4.1598322,-0.1861346,0.2,4.1352,-3.745,0
