fia,region,b1,b2,b3,b4,b5,b6
693,LS,6.43010,0.23545,1.33800,0.47370,0.73385,0.08228
694,LS,6.43010,0.23545,1.33800,0.47370,0.73385,0.08228
701,LS,6.43010,0.23545,1.33800,0.47370,0.73385,0.08228
711,LS,6.43010,0.23545,1.33800,0.47370,0.73385,0.08228
712,LS,6.43010,0.23545,1.33800,0.47370,0.73385,0.08228
731,LS,6.43010,0.23545,1.33800,0.47370,0.73385,0.08228
741,LS,6.43010,0.23545,1.33800,0.47370,0.73385,0.08228
742,LS,13.62500,0.28668,1.61240,0.30651,1.02920,0.07460
743,LS,5.53460,0.22637,1.00000,0.46918,0.72456,0.11782
744,LS,13.62500,0.28668,1.61240,0.30651,1.02920,0.07460
746,LS,6.43010,0.23545,1.33800,0.47370,0.73385,0.08228
760,LS,6.43010,0.23545,1.33800,0.47370,0.73385,0.08228
761,LS,6.43010,0.23545,1.33800,0.47370,0.73385,0.08228
762,LS,6.86000,0.27725,1.42870,0.40115,0.85299,0.12403
763,LS,6.43010,0.23545,1.33800,0.47370,0.73385,0.08228
766,LS,6.43010,0.23545,1.33800,0.47370,0.73385,0.08228
800,LS,9.20780,0.22208,1.00000,0.31723,0.83560,0.13465
802,LS,9.20780,0.22208,1.00000,0.31723,0.83560,0.13465
804,LS,9.20780,0.22208,1.00000,0.31723,0.83560,0.13465
806,LS,6.68440,0.19049,1.00000,0.43972,0.82962,0.10806
809,LS,3.80110,0.39213,2.90530,0.55634,0.84317,0.09593
812,LS,6.68440,0.19049,1.00000,0.43972,0.82962,0.10806
813,LS,6.68440,0.19049,1.00000,0.43972,0.82962,0.10806
816,LS,6.68440,0.19049,1.00000,0.43972,0.82962,0.10806
817,LS,6.68440,0.19049,1.00000,0.43972,0.82962,0.10806
822,LS,9.20780,0.22208,1.00000,0.31723,0.83560,0.13465
823,LS,9.20780,0.22208,1.00000,0.31723,0.83560,0.13465
824,LS,6.68440,0.19049,1.00000,0.43972,0.82962,0.10806
825,LS,9.20780,0.22208,1.00000,0.31723,0.83560,0.13465
826,LS,9.20780,0.22208,1.00000,0.31723,0.83560,0.13465
827,LS,9.20780,0.22208,1.00000,0.31723,0.83560,0.13465
828,LS,9.20780,0.22208,1.00000,0.31723,0.83560,0.13465
830,LS,3.80110,0.39213,2.90530,0.55634,0.84317,0.09593
831,LS,6.68440,0.19049,1.00000,0.43972,0.82962,0.10806
832,LS,6.68440,0.19049,1.00000,0.43972,0.82962,0.10806
833,LS,6.68440,0.19049,1.00000,0.43972,0.82962,0.10806
834,LS,6.68440,0.19049,1.00000,0.43972,0.82962,0.10806
835,LS,9.20780,0.22208,1.00000,0.31723,0.83560,0.13465
836,LS,9.20780,0.22208,1.00000,0.31723,0.83560,0.13465
837,LS,3.80110,0.39213,2.90530,0.55634,0.84317,0.09593
901,LS,6.43010,0.23545,1.33800,0.47370,0.73385,0.08228
920,LS,6.43010,0.23545,1.33800,0.47370,0.73385,0.08228
922,LS,6.43010,0.23545,1.33800,0.47370,0.73385,0.08228
923,LS,6.43010,0.23545,1.33800,0.47370,0.73385,0.08228
931,LS,6.43010,0.23545,1.33800,0.47370,0.73385,0.08228
935,LS,6.43010,0.23545,1.33800,0.47370,0.73385,0.08228
951,LS,6.36280,0.27859,1.86770,0.49589,0.76169,0.05841
952,LS,6.36280,0.27859,1.86770,0.49589,0.76169,0.05841
970,LS,8.45800,0.27527,1.96020,0.34894,0.89213,0.12594
971,LS,8.45800,0.27527,1.96020,0.34894,0.89213,0.12594
972,LS,8.45800,0.27527,1.96020,0.34894,0.89213,0.12594
974,LS,8.45800,0.27527,1.96020,0.34894,0.89213,0.12594
975,LS,8.45800,0.27527,1.96020,0.34894,0.89213,0.12594
977,LS,8.45800,0.27527,1.96020,0.34894,0.89213,0.12594
990,LS,8.45800,0.27527,1.96020,0.34894,0.89213,0.12594
991,LS,8.45800,0.27527,1.96020,0.34894,0.89213,0.12594
992,LS,8.45800,0.27527,1.96020,0.34894,0.89213,0.12594
993,LS,6.43010,0.23545,1.33800,0.47370,0.73385,0.08228
994,LS,6.43010,0.23545,1.33800,0.47370,0.73385,0.08228
012,CS,16.28100,0.08621,1.00000,0.16220,0.86833,0.23316
043,CS,8.20790,0.19672,1.31120,0.33978,0.76173,0.11666
057,CS,8.20790,0.19672,1.31120,0.33978,0.76173,0.11666
068,CS,8.20790,0.19672,1.31120,0.33978,0.76173,0.11666
071,CS,16.28100,0.08621,1.00000,0.16220,0.86833,0.23316
090,CS,16.28100,0.08621,1.00000,0.16220,0.86833,0.23316
091,CS,16.28100,0.08621,1.00000,0.16220,0.86833,0.23316
094,CS,16.28100,0.08621,1.00000,0.16220,0.86833,0.23316
095,CS,16.28100,0.08621,1.00000,0.16220,0.86833,0.23316
097,CS,16.28100,0.08621,1.00000,0.16220,0.86833,0.23316
100,CS,16.28100,0.08621,1.00000,0.16220,0.86833,0.23316
105,CS,16.28100,0.08621,1.00000,0.16220,0.86833,0.23316
110,CS,16.93400,0.12972,1.00000,0.20854,0.77792,0.12902
123,CS,16.28100,0.08621,1.00000,0.16220,0.86833,0.23316
125,CS,16.28100,0.08621,1.00000,0.16220,0.86833,0.23316
126,CS,16.28100,0.08621,1.00000,0.16220,0.86833,0.23316
128,CS,16.28100,0.08621,1.00000,0.16220,0.86833,0.23316
129,CS,16.28100,0.08621,1.00000,0.16220,0.86833,0.23316
130,CS,16.28100,0.08621,1.00000,0.16220,0.86833,0.23316
131,CS,16.93400,0.12972,1.00000,0.20854,0.77792,0.12902
132,CS,16.93400,0.12972,1.00000,0.20854,0.77792,0.12902
221,CS,6.95720,0.26564,1.00000,0.48660,0.76954,0.01618
241,CS,16.28100,0.08621,1.00000,0.16220,0.86833,0.23316
260,CS,16.28100,0.08621,1.00000,0.16220,0.86833,0.23316
261,CS,16.28100,0.08621,1.00000,0.16220,0.86833,0.23316
290,CS,16.28100,0.08621,1.00000,0.16220,0.86833,0.23316
313,CS,6.86000,0.27725,1.42870,0.40115,0.85299,0.12403
314,CS,5.34160,0.23044,1.15290,0.54194,0.83440,0.06372
315,CS,13.62000,0.24255,1.28850,0.25831,0.68128,0.10771
316,CS,6.86000,0.27725,1.42870,0.40115,0.85299,0.12403
317,CS,6.86000,0.27725,1.42870,0.40115,0.85299,0.12403
318,CS,5.34160,0.23044,1.15290,0.54194,0.83440,0.06372
319,CS,13.62000,0.24255,1.28850,0.25831,0.68128,0.10771
330,CS,6.43010,0.23545,1.33800,0.47370,0.73385,0.08228
331,CS,6.43010,0.23545,1.33800,0.47370,0.73385,0.08228
332,CS,6.43010,0.23545,1.33800,0.47370,0.73385,0.08228
341,CS,13.62500,0.28668,1.61240,0.30651,1.02920,0.07460
356,CS,13.62000,0.24255,1.28850,0.25831,0.68128,0.10771
371,CS,6.95720,0.26564,1.00000,0.48660,0.76954,0.01618
372,CS,6.95720,0.26564,1.00000,0.48660,0.76954,0.01618
373,CS,6.95720,0.26564,1.00000,0.48660,0.76954,0.01618
374,CS,6.95720,0.26564,1.00000,0.48660,0.76954,0.01618
375,CS,6.95720,0.26564,1.00000,0.48660,0.76954,0.01618
379,CS,6.95720,0.26564,1.00000,0.48660,0.76954,0.01618
391,CS,13.62000,0.24255,1.28850,0.25831,0.68128,0.10771
400,CS,6.10340,0.17368,1.00000,0.44725,1.02370,0.14610
401,CS,6.10340,0.17368,1.00000,0.44725,1.02370,0.14610
402,CS,6.10340,0.17368,1.00000,0.44725,1.02370,0.14610
403,CS,6.10340,0.17368,1.00000,0.44725,1.02370,0.14610
404,CS,6.10340,0.17368,1.00000,0.44725,1.02370,0.14610
405,CS,6.10340,0.17368,1.00000,0.44725,1.02370,0.14610
407,CS,6.10340,0.17368,1.00000,0.44725,1.02370,0.14610
408,CS,6.10340,0.17368,1.00000,0.44725,1.02370,0.14610
409,CS,6.10340,0.17368,1.00000,0.44725,1.02370,0.14610
410,CS,6.10340,0.17368,1.00000,0.44725,1.02370,0.14610
421,CS,6.10340,0.17368,1.00000,0.44725,1.02370,0.14610
450,CS,6.43010,0.23545,1.33800,0.47370,0.73385,0.08228
452,CS,6.43010,0.23545,1.33800,0.47370,0.73385,0.08228
460,CS,8.45800,0.27527,1.96020,0.34894,0.89213,0.12594
461,CS,8.45800,0.27527,1.96020,0.34894,0.89213,0.12594
462,CS,8.45800,0.27527,1.96020,0.34894,0.89213,0.12594
471,CS,13.62000,0.24255,1.28850,0.25831,0.68128,0.10771
481,CS,13.62000,0.24255,1.28850,0.25831,0.68128,0.10771
490,CS,13.62000,0.24255,1.28850,0.25831,0.68128,0.10771
491,CS,13.62000,0.24255,1.28850,0.25831,0.68128,0.10771
500,CS,13.62000,0.24255,1.28850,0.25831,0.68128,0.10771
521,CS,6.43010,0.23545,1.33800,0.47370,0.73385,0.08228
531,CS,5.34160,0.23044,1.15290,0.54194,0.83440,0.06372
540,CS,8.17820,0.27316,1.72500,0.38694,0.75822,0.10847
541,CS,8.17820,0.27316,1.72500,0.38694,0.75822,0.10847
543,CS,11.29100,0.25250,1.54660,0.35711,0.75060,0.06859
544,CS,8.17820,0.27316,1.72500,0.38694,0.75822,0.10847
545,CS,11.29100,0.25250,1.54660,0.35711,0.75060,0.06859
546,CS,11.29100,0.25250,1.54660,0.35711,0.75060,0.06859
552,CS,6.43010,0.23545,1.33800,0.47370,0.73385,0.08228
571,CS,13.62000,0.24255,1.28850,0.25831,0.68128,0.10771
591,CS,6.68440,0.19049,1.00000,0.43972,0.82962,0.10806
601,CS,13.62500,0.28668,1.61240,0.30651,1.02920,0.07460
602,CS,13.62500,0.28668,1.61240,0.30651,1.02920,0.07460
611,CS,6.95720,0.26564,1.00000,0.48660,0.76954,0.01618
621,CS,6.36280,0.27859,1.86770,0.49589,0.76169,0.05841
641,CS,13.62000,0.24255,1.28850,0.25831,0.68128,0.10771
650,CS,13.62000,0.24255,1.28850,0.25831,0.68128,0.10771
651,CS,13.62000,0.24255,1.28850,0.25831,0.68128,0.10771
653,CS,13.62000,0.24255,1.28850,0.25831,0.68128,0.10771
654,CS,13.62000,0.24255,1.28850,0.25831,0.68128,0.10771
655,CS,13.62000,0.24255,1.28850,0.25831,0.68128,0.10771
660,CS,13.62000,0.24255,1.28850,0.25831,0.68128,0.10771
690,CS,6.86000,0.27725,1.42870,0.40115,0.85299,0.12403
691,CS,6.86000,0.27725,1.42870,0.40115,0.85299,0.12403
693,CS,6.86000,0.27725,1.42870,0.40115,0.85299,0.12403
694,CS,6.86000,0.27725,1.42870,0.40115,0.85299,0.12403
701,CS,13.62000,0.24255,1.28850,0.25831,0.68128,0.10771
711,CS,13.62000,0.24255,1.28850,0.25831,0.68128,0.10771
712,CS,13.62000,0.24255,1.28850,0.25831,0.68128,0.10771
731,CS,6.95720,0.26564,1.00000,0.48660,0.76954,0.01618
741,CS,6.43010,0.23545,1.33800,0.47370,0.73385,0.08228
742,CS,13.62500,0.28668,1.61240,0.30651,1.02920,0.07460
743,CS,6.43010,0.23545,1.33800,0.47370,0.73385,0.08228
744,CS,13.62500,0.28668,1.61240,0.30651,1.02920,0.07460
