fia,region,b1,b2,b3,b4,b5,b6
744,NE,6.43010,0.23545,1.33800,0.47370,0.73385,0.08228
746,NE,6.43010,0.23545,1.33800,0.47370,0.73385,0.08228
760,NE,13.62500,0.28668,1.61240,0.30651,1.02920,0.07460
761,NE,13.62500,0.28668,1.61240,0.30651,1.02920,0.07460
762,NE,8.17820,0.27316,1.72500,0.38694,0.75822,0.10847
763,NE,8.17820,0.27316,1.72500,0.38694,0.75822,0.10847
766,NE,8.17820,0.27316,1.72500,0.38694,0.75822,0.10847
800,NE,9.20780,0.22208,1.00000,0.31723,0.83560,0.13465
802,NE,9.20780,0.22208,1.00000,0.31723,0.83560,0.13465
804,NE,3.80110,0.39213,2.90530,0.55634,0.84317,0.09593
806,NE,3.80110,0.39213,2.90530,0.55634,0.84317,0.09593
809,NE,6.68440,0.19049,1.00000,0.43972,0.82962,0.10806
812,NE,6.68440,0.19049,1.00000,0.43972,0.82962,0.10806
813,NE,6.68440,0.19049,1.00000,0.43972,0.82962,0.10806
816,NE,6.68440,0.19049,1.00000,0.43972,0.82962,0.10806
817,NE,3.80110,0.39213,2.90530,0.55634,0.84317,0.09593
822,NE,9.20780,0.22208,1.00000,0.31723,0.83560,0.13465
823,NE,9.20780,0.22208,1.00000,0.31723,0.83560,0.13465
824,NE,6.68440,0.19049,1.00000,0.43972,0.82962,0.10806
825,NE,3.80110,0.39213,2.90530,0.55634,0.84317,0.09593
826,NE,9.20780,0.22208,1.00000,0.31723,0.83560,0.13465
827,NE,3.80110,0.39213,2.90530,0.55634,0.84317,0.09593
828,NE,3.80110,0.39213,2.90530,0.55634,0.84317,0.09593
830,NE,3.80110,0.39213,2.90530,0.55634,0.84317,0.09593
831,NE,6.68440,0.19049,1.00000,0.43972,0.82962,0.10806
832,NE,3.80110,0.39213,2.90530,0.55634,0.84317,0.09593
833,NE,6.68440,0.19049,1.00000,0.43972,0.82962,0.10806
834,NE,6.68440,0.19049,1.00000,0.43972,0.82962,0.10806
835,NE,9.20780,0.22208,1.00000,0.31723,0.83560,0.13465
836,NE,6.68440,0.19049,1.00000,0.43972,0.82962,0.10806
837,NE,6.68440,0.19049,1.00000,0.43972,0.82962,0.10806
901,NE,6.68440,0.19049,1.00000,0.43972,0.82962,0.10806
920,NE,6.68440,0.19049,1.00000,0.43972,0.82962,0.10806
922,NE,6.68440,0.19049,1.00000,0.43972,0.82962,0.10806
923,NE,6.68440,0.19049,1.00000,0.43972,0.82962,0.10806
931,NE,6.68440,0.19049,1.00000,0.43972,0.82962,0.10806
935,NE,13.62500,0.28668,1.61240,0.30651,1.02920,0.07460
951,NE,6.68440,0.19049,1.00000,0.43972,0.82962,0.10806
952,NE,6.68440,0.19049,1.00000,0.43972,0.82962,0.10806
970,NE,6.68440,0.19049,1.00000,0.43972,0.82962,0.10806
971,NE,6.68440,0.19049,1.00000,0.43972,0.82962,0.10806
972,NE,6.68440,0.19049,1.00000,0.43972,0.82962,0.10806
974,NE,6.68440,0.19049,1.00000,0.43972,0.82962,0.10806
975,NE,6.68440,0.19049,1.00000,0.43972,0.82962,0.10806
977,NE,6.68440,0.19049,1.00000,0.43972,0.82962,0.10806
990,NE,6.68440,0.19049,1.00000,0.43972,0.82962,0.10806
991,NE,13.62500,0.28668,1.61240,0.30651,1.02920,0.07460
992,NE,13.62500,0.28668,1.61240,0.30651,1.02920,0.07460
993,NE,13.62500,0.28668,1.61240,0.30651,1.02920,0.07460
994,NE,13.62500,0.28668,1.61240,0.30651,1.02920,0.07460
