species_index,code_alpha,code_fia,code_plants,estab_min_ht,estab_hht_max,dg_resid_sd,bark_intercept,bark_slope,varmrt_varadj,sdi_max_default,dbh_min
70,OB,331,AEGL,0.55,20.0,0.77412,0.0,0.93,0.3,371.0,5.0
71,CA,450,CATAL,0.63,20.0,0.77412,0.0,0.93,0.7,492.0,5.0
72,PS,521,DIVI5,0.25,12.0,0.77412,0.0,0.93,0.9,147.0,5.0
73,HL,552,GLTR,5.0,20.0,0.68493,0.0,0.93,0.7,338.0,5.0
74,BP,741,POBA2,0.42,24.0,0.77412,0.0,0.93,0.1,384.0,5.0
75,BT,743,POGR4,0.42,20.0,0.77412,0.0,0.93,0.1,520.0,5.0
76,QA,746,POTR5,0.42,20.0,0.77412,0.0,0.93,0.1,562.0,5.0
77,BK,901,ROPS,0.58,24.0,0.77412,0.0,0.93,0.1,343.0,5.0
78,,,,1.4,20.0,0.80347,0.0,0.93,0.3,499.0,5.0
79,SY,731,PLOC,0.58,24.0,0.80347,0.0,0.93,0.5,499.0,5.0
80,BY,221,TADI2,1.4,20.0,0.80347,0.0,0.93,0.5,692.0,5.0
81,RB,373,BENI,0.33,18.0,0.80347,0.0,0.93,0.3,400.0,5.0
82,SU,611,LIST2,0.33,18.0,0.80347,0.0,0.93,0.3,430.0,5.0
83,WI,920,SALIX,4.7,20.0,0.80347,0.0,0.93,0.9,447.0,5.0
84,BL,922,SANI,1.0,32.0,0.80347,0.0,0.93,0.1,447.0,5.0
85,OH,998,2TB,0.33,10.0,0.68013,0.0,0.95,0.3,257.0,5.0
86,AH,391,CACA18,0.42,20.0,0.68013,0.0,0.95,0.9,375.0,5.0
87,RD,471,CECA4,2.1,20.0,0.68013,0.0,0.95,0.3,422.0,5.0
88,DW,491,COFL2,0.25,18.0,0.68013,0.0,0.95,0.9,257.0,5.0
89,HT,500,CRATA,0.25,16.0,0.68013,0.0,0.95,0.3,463.0,5.0
90,KC,571,GYDI,0.5,20.0,0.74594,0.0,0.95,0.1,343.0,5.0
91,OO,641,MAPO,0.25,12.0,0.68111,0.0,0.95,0.3,404.0,5.0
92,CT,651,MAAC,0.33,20.0,0.68013,0.0,0.95,0.5,415.0,5.0
93,MV,653,MAVI2,0.42,20.0,0.68013,0.0,0.95,0.5,492.0,5.0
94,MB,680,MORUS,2.1,20.0,0.68013,0.0,0.95,0.3,277.0,5.0
95,HH,701,OSVI,0.42,20.0,0.68013,0.0,0.95,0.7,304.0,5.0
96,SD,711,OXAR,0.33,16.0,0.68013,0.0,0.95,0.7,164.0,5.0
