equation,family,a,b,c,cr_coef,hi_coef,power,dbh_cap,max_cw
82301,bechtold,1.7827,1.6549,0.0,0.0343,0.0,0,999.0,61.0
82303,ek,0.942,3.539,0,0,0,0.7952,999,78.0
82401,bechtold,0.5443,1.4882,0.0,0.0565,0.0,0,999.0,37.0
82601,bechtold,0.5189,1.4134,0.0,0.1365,-0.0806,0,999.0,45.0
82701,bechtold,1.6349,1.5443,0.0,0.0637,-0.0764,0,999.0,57.0
83001,bechtold,-5.6268,1.7808,0.0,0.1231,0.1578,0,999.0,63.0
83101,bechtold,1.6477,1.3672,0.0,0.0846,0.0,0,999.0,74.0
83201,bechtold,2.148,1.6928,-0.0176,0.0569,0.0,0,50.0,0.0
83301,bechtold,2.8908,1.4077,0.0,0.0643,0.0,0,999.0,82.0
83302,bragg,2.280575,2.679718,0,0,0,0.830741,999,0
83303,ek,2.85,3.782,0,0,0,0.7968,999,82.0
83304,ek,4.51,1.67,0,0,0,1.0,999,82.0
83501,bechtold,1.6125,1.6669,0.0,0.0536,0.0,0,999.0,45.0
83701,bechtold,2.8974,1.3697,0.0,0.0671,0.0,0,999.0,52.0
83703,ek,4.504,2.417,0,0,0,1.0,999,52.0
83704,ek,4.51,1.67,0,0,0,1.0,999,52.0
83801,bechtold,5.6694,1.6402,0.0,0.0,0.0,0,999.0,66.0
90101,bechtold,3.0012,0.8165,0.0,0.1395,0.0,0,999.0,48.0
93101,bechtold,4.6311,1.0108,0.0,0.0564,0.0,0,999.0,29.0
95101,bechtold,1.6871,1.211,0.0,0.1194,-0.0264,0,999.0,61.0
95102,bragg,7.172413,0.662556,0,0,0,1.127814,999,0
95103,ek,0.135,3.703,0,0,0,0.7307,999,61.0
97101,bechtold,4.3649,1.6612,0.0,0.0643,0.0,0,999.0,40.0
97201,bechtold,1.7296,2.0732,0.0,0.059,-0.0869,0,999.0,50.0
97202,bragg,-53.239079,61.327257,0,0,0,0.060166,999,0
97203,ek,2.829,3.456,0,0,0,0.8575,999,72.0
97501,bechtold,9.0023,1.3933,0.0,0.0,-0.0785,0,999.0,49.0
