SITHDR      1   1990     10     81     11 41200000 42580000 441369C6 40A4A394 44136AC1
IFHOST  1  0
IFHOST  2  1
IFHOST  3  0
IFHOST  4  1
IFHOST  5  1
IFHOST  6  0
IFHOST  7  0
SITTRE     1     3     1 42920000 41380000 3F9B8648 420C0000 4054F204 421B2920
SITTRE     2     8     1 40000000 3DCCCCCD 3EDB4C9D 425C0000 42580002 3D2BA176
SITTRE     3     9     2 41F00000 40D00000 3FBDA5F4 42960000 4126A3A2 4224EF6C
SITTRE     4     3     2 42960000 40FCCCCD 3F6E4F98 41C80000 40E19EFF 41465C9A
SITTRE     5     9     3 427C0000 41000000 3F40A1D8 41C80000 40DC040C 419100F2
SITTRE     6     3     3 42180000 40C66666 3F82C464 42340000 413727DE 416CB3E1
SITTRE     7     8     3 40A00000 41066666 3F4E2BF0 420C0000 40C78F94 42AFD878
SITTRE     8     9     3 42700000 41180000 3F456E50 41C80000 409C05B5 41D8041E
SITTRE     9     3     4 41A00000 40800000 3F592A50 41C80000 41900001 4093FCD1
SITTRE    10     8     4 42820000 41033333 3F741B18 42340000 40D16A0A 421BC71C
SITTRE    11     9     5 41300000 3F99999A 3E1F6DF8 425C0000 41900001 403551C8
SITTRE    12     3     5 41500000 3FF33333 3E99B590 42340000 41900001 3FD21A09
SITTRE    13     9     5 40400000 3DCCCCCD 00000000 42820000 42580002 3EBF3E81
SITTRE    14     3     5 41D80000 40A9999A 3F98C3BC 42820000 417AA419 4182F318
SITTRE    15     8     6 42820000 41200000 3F5A6310 420C0000 408CCF64 4241FEC3
SITTRE    16     9     6 42180000 40C33333 3FAEBA14 42960000 413D35C6 41FF830F
SITTRE    17     3     6 42860000 414B3333 3F8974E0 420C0000 402E9ADA 423F050B
SITTRE    18     8     8 42700000 4119999A 3F303D20 41C80000 4098C9EB 4207880B
SITTRE    19     9     8 425C0000 41266666 3F812D10 42340000 40822FD8 425E5BAE
SITTRE    20     3     8 4237D0FC 41080000 3F73F108 41C80000 40C2E496 418D6F9B
SITTRE    21     8     9 42820000 412E6666 3F95B0E8 42820000 406D08BD 42C67538
SITTRE    22     9     9 42700000 41166666 3F8928A8 420C0000 409F5C0E 42141ED9
SITTRE    23     3    10 41880000 404CCCCD 3F5D6C6C 42340000 41900001 402410B7
SITTRE    24     8    10 40000000 3DCCCCCD 00000000 42820000 41900001 3D6E2B3B
SITTRE    25     9    10 41E00000 40B9999A 3F8CC020 42820000 41514A2A 41D93E42
SITTRE    26     3    10 41C80000 40A00000 3F47C0C0 41C80000 418CCF64 40D5587B
SITTRE    27     8    11 41F00000 40D33333 3F9BAB7C 42820000 4121A0B7 4237BD48
SITTRE    28     3     1 42920000 41380000 3FBD06B0 420C0000 3FB17458 4225583A
SITTRE    29     3     1 42920000 41380000 3F7FA6F0 420C0000 3F54F204 4211A2F0
SITTRE    30     8     1 40000000 3DCCCCCD 3EDB4C9D 425C0000 41B40001 3D2BA176
SITTRE    31     8     1 40000000 3DCCCCCD 3EDB4C9D 425C0000 41580002 3D2BA176
SITTRE    32     9     2 41F00000 40D00000 3FE388D0 42960000 408ADDB1 422F928E
SITTRE    33     9     2 41F00000 40D00000 3F9DBE24 42960000 4026A3A2 421AFB03
SITTRE    34     3     2 42960000 40FCCCCD 3F90A540 41C80000 403C047F 41535F31
SITTRE    35     3     2 42960000 40FCCCCD 3F441378 41C80000 3FE19EFF 413A3165
SITTRE    36     9     3 427C0000 41000000 3F69BCC8 41C80000 403758B4 419A623D
SITTRE    37     9     3 427C0000 41000000 3F1EA3A8 41C80000 3FDC040C 41883AAD
SITTRE    38     3     3 42180000 40C66666 3F9E0AA0 42340000 4098A139 417C304A
SITTRE    39     3     3 42180000 40C66666 3F5804F8 42340000 403727DE 415E3677
SITTRE    40     8     3 40A00000 41066666 3F9357A8 420C0000 40264CFB 42C589C8
SITTRE    41     8     3 40A00000 41066666 3F0FACC0 420C0000 3FC78F94 429C9BDF
SITTRE    42     9     3 42700000 41180000 3F6FDCE0 41C80000 400204C1 41E5FEAB
SITTRE    43     9     3 42700000 41180000 3F226A80 41C80000 3F9C05B5 41CAF0CC
SITTRE    44     3     4 41A00000 40800000 3F82B414 41C80000 40F00001 409DA60D
SITTRE    45     3     4 41A00000 40800000 3F3404C8 41C80000 40900001 408AF211
SITTRE    46     8     4 42820000 41033333 3FADCDB4 42340000 402E8308 422EFCAF
SITTRE    47     8     4 42820000 41033333 3F2A97C8 42340000 3FD16A0A 420ABDC1
