ffe_dead_ft,fuel_name,fc_lt025,fc_025_1,fc_1_3,fc_3_6,fc_6_12,fc_12_20,fc_20_35,fc_35_50,fc_gt50,litter,duff
1,eastern_white_pine,0.10,0.50,1.68,0.55,0.64,0.07,0.0,0.0,0.0,4.02,12.52
2,longleaf_slash_pine,0.10,0.66,0.98,0.12,0.29,0.26,0.0,0.0,0.0,6.38,8.66
3,loblolly_shortleaf_pine,0.14,0.72,1.54,0.25,0.44,0.33,0.0,0.0,0.0,4.90,6.03
4,eastern_redcedar,0.24,1.24,2.72,0.36,0.97,0.33,0.0,0.0,0.0,3.82,3.80
5,oak_pine,0.18,0.77,2.17,0.31,0.86,0.78,0.0,0.0,0.0,4.07,6.15
6,oak_hickory,0.13,0.68,1.93,0.43,1.01,1.01,0.0,0.0,0.0,4.28,5.91
7,oak_gum_cypress,0.13,0.67,1.83,0.18,0.57,0.77,0.0,0.0,0.0,2.49,5.68
8,elm_ash_cottonwood,0.22,1.09,2.68,0.26,0.76,0.43,0.0,0.0,0.0,2.33,1.60
9,maple_beech_birch,0.09,0.64,2.03,0.43,1.18,3.38,0.0,0.0,0.0,3.75,4.10
