habitat,fate,product,species_group,years_since_harvest,proportion
1,landfill,pulpwood,softwood,20,0.1252
1,landfill,pulpwood,softwood,21,0.1245
1,landfill,pulpwood,softwood,22,0.1238
1,landfill,pulpwood,softwood,23,0.1229
1,landfill,pulpwood,softwood,24,0.1220
1,landfill,pulpwood,softwood,25,0.1212
1,landfill,pulpwood,softwood,26,0.1203
1,landfill,pulpwood,softwood,27,0.1195
1,landfill,pulpwood,softwood,28,0.1188
1,landfill,pulpwood,softwood,29,0.1180
1,landfill,pulpwood,softwood,30,0.1173
1,landfill,pulpwood,softwood,31,0.1167
1,landfill,pulpwood,softwood,32,0.1161
1,landfill,pulpwood,softwood,33,0.1155
1,landfill,pulpwood,softwood,34,0.1149
1,landfill,pulpwood,softwood,35,0.1144
1,landfill,pulpwood,softwood,36,0.1140
1,landfill,pulpwood,softwood,37,0.1135
1,landfill,pulpwood,softwood,38,0.1131
1,landfill,pulpwood,softwood,39,0.1127
1,landfill,pulpwood,softwood,40,0.1124
1,landfill,pulpwood,softwood,41,0.1121
1,landfill,pulpwood,softwood,42,0.1118
1,landfill,pulpwood,softwood,43,0.1115
1,landfill,pulpwood,softwood,44,0.1113
1,landfill,pulpwood,softwood,45,0.1111
1,landfill,pulpwood,softwood,46,0.1109
1,landfill,pulpwood,softwood,47,0.1107
1,landfill,pulpwood,softwood,48,0.1105
1,landfill,pulpwood,softwood,49,0.1104
1,landfill,pulpwood,softwood,50,0.1103
1,landfill,pulpwood,softwood,51,0.1102
1,landfill,pulpwood,softwood,52,0.1101
1,landfill,pulpwood,softwood,53,0.1100
1,landfill,pulpwood,softwood,54,0.1099
1,landfill,pulpwood,softwood,55,0.1099
1,landfill,pulpwood,softwood,56,0.1098
1,landfill,pulpwood,softwood,57,0.1098
1,landfill,pulpwood,softwood,58,0.1098
1,landfill,pulpwood,softwood,59,0.1098
1,landfill,pulpwood,softwood,60,0.1098
1,landfill,pulpwood,softwood,61,0.1098
1,landfill,pulpwood,softwood,62,0.1099
1,landfill,pulpwood,softwood,63,0.1099
1,landfill,pulpwood,softwood,64,0.1100
1,landfill,pulpwood,softwood,65,0.1100
1,landfill,pulpwood,softwood,66,0.1101
1,landfill,pulpwood,softwood,67,0.1101
1,landfill,pulpwood,softwood,68,0.1102
1,landfill,pulpwood,softwood,69,0.1103
1,landfill,pulpwood,softwood,70,0.1104
1,landfill,pulpwood,softwood,71,0.1105
1,landfill,pulpwood,softwood,72,0.1106
1,landfill,pulpwood,softwood,73,0.1107
1,landfill,pulpwood,softwood,74,0.1108
1,landfill,pulpwood,softwood,75,0.1109
1,landfill,pulpwood,softwood,76,0.1110
1,landfill,pulpwood,softwood,77,0.1111
1,landfill,pulpwood,softwood,78,0.1112
1,landfill,pulpwood,softwood,79,0.1113
1,landfill,pulpwood,softwood,80,0.1115
1,landfill,pulpwood,softwood,81,0.1116
1,landfill,pulpwood,softwood,82,0.1117
1,landfill,pulpwood,softwood,83,0.1119
1,landfill,pulpwood,softwood,84,0.1120
1,landfill,pulpwood,softwood,85,0.1121
1,landfill,pulpwood,softwood,86,0.1123
1,landfill,pulpwood,softwood,87,0.1124
1,landfill,pulpwood,softwood,88,0.1125
1,landfill,pulpwood,softwood,89,0.1127
1,landfill,pulpwood,softwood,90,0.1128
1,landfill,pulpwood,softwood,91,0.1130
1,landfill,pulpwood,softwood,92,0.1131
1,landfill,pulpwood,softwood,93,0.1133
1,landfill,pulpwood,softwood,94,0.1134
1,landfill,pulpwood,softwood,95,0.1136
1,landfill,pulpwood,softwood,96,0.1137
1,landfill,pulpwood,softwood,97,0.1138
1,landfill,pulpwood,softwood,98,0.1140
1,landfill,pulpwood,softwood,99,0.1141
1,landfill,pulpwood,softwood,100,0.1143
1,landfill,pulpwood,softwood,101,0.1144
1,energy,pulpwood,softwood,1,0.2660
1,energy,pulpwood,softwood,2,0.2897
1,energy,pulpwood,softwood,3,0.3116
1,energy,pulpwood,softwood,4,0.3303
1,energy,pulpwood,softwood,5,0.3464
1,energy,pulpwood,softwood,6,0.3602
1,energy,pulpwood,softwood,7,0.3725
1,energy,pulpwood,softwood,8,0.3834
1,energy,pulpwood,softwood,9,0.3936
1,energy,pulpwood,softwood,10,0.4030
1,energy,pulpwood,softwood,11,0.4110
1,energy,pulpwood,softwood,12,0.4177
1,energy,pulpwood,softwood,13,0.4230
1,energy,pulpwood,softwood,14,0.4274
1,energy,pulpwood,softwood,15,0.4309
1,energy,pulpwood,softwood,16,0.4337
1,energy,pulpwood,softwood,17,0.4361
1,energy,pulpwood,softwood,18,0.4381
1,energy,pulpwood,softwood,19,0.4397
1,energy,pulpwood,softwood,20,0.4413
1,energy,pulpwood,softwood,21,0.4426
1,energy,pulpwood,softwood,22,0.4436
1,energy,pulpwood,softwood,23,0.4445
1,energy,pulpwood,softwood,24,0.4453
