species_index,code_alpha,code_fia,code_plants,dg_resid_sd,dg_intercept,dg_ln_dbh,dg_dbh_squared,dg_ln_crown_pct,dg_site_index,dg_relative_height,dg_stand_basal_area,dg_point_bal,dg_slope_tan,dg_slope_cos_aspect,dg_slope_sin_aspect,dg_prior_obs_count,dg_fortype_lowland_hw,dg_fortype_nonoak_hw,dg_fortype_oak_pine,dg_fortype_softwd_hp,dg_fortype_upland_hw,dg_fortype_upland_oak,dg_fortype_yellow_pine,dg_planted,dg_phys_pm221,dg_phys_pm222,dg_phys_pm231,dg_phys_p221,dg_phys_p222,dg_phys_s231t,dg_phys_s231l,dg_phys_p232,dg_phys_p234,dg_phys_p255,dg_phys_p411,bark_intercept,bark_slope,dg_bound_dbh_lo,dg_bound_dbh_hi,ht_curve_b1,ht_curve_b2,ht_curve_b3,ht_curve_b4,ht_curve_b5,ht_relht_yxs,ht_relht_r,ht_relht_b,mort_bkgd_intercept,mort_bkgd_dbh,sdi_max_default,site_index_min,site_index_max,site_group,varmrt_shade_adj
11,PD,128,PISE,0.5921,-2.353114,1.425614,-0.001694,0.455833,0.007876,-0.198222,-0.003001,-0.00451,0.685018,-2.907934,1.683401,2590.0,0.187724,0.0,0.044416,0.0,0.482241,0.296549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.205608,-0.51271,0.90245,28.7,40.0,1.1266,1.0051,-0.0367,0.678,0.0404,0.05,13.0,-1.6,5.5877,-0.005348,310.0,35.0,105.0,1,0.7
12,WP,129,PIST,0.4937,-3.497764,1.339503,-0.000961,0.75906,0.004214,0.605201,-0.000865,-0.004065,-0.372738,-0.085193,-0.035582,2602.0,-0.585211,-0.062163,-0.073668,-0.198969,0.0,0.022013,0.046063,0.09809,0.0,0.0,0.0,-0.06563,-0.450665,0.102041,0.0,0.0,0.0,0.0,0.0,-0.31608,0.92054,998.0,999.0,3.2425,0.798,-0.0435,52.0549,-0.7064,0.1,15.0,-1.45,5.5877,-0.005348,529.0,40.0,135.0,4,0.5
13,LP,131,PITA,0.4687,0.222214,1.16304,-0.000863,0.028483,0.005018,0.006935,-0.003408,-0.004184,-0.759347,0.18536,-0.072842,92313.0,0.126441,-0.122163,0.050835,0.0,0.063669,-0.016885,0.0,0.245669,-0.069716,0.581967,0.790149,-0.584818,-0.364073,-0.183317,0.256273,0.0,0.28179,0.274618,0.0,-0.4814,0.91413,998.0,999.0,1.1421,1.0042,-0.0374,0.7632,0.0358,0.05,13.0,-1.6,5.5877,-0.005348,480.0,40.0,125.0,4,0.7
14,VP,132,PIVI2,0.4693,-2.600803,1.525435,-0.003519,0.615731,0.001033,0.059646,-0.002304,-0.002716,-0.217771,0.018819,-0.052142,9860.0,-0.059007,0.325781,0.04537,0.091999,-0.004333,-0.067779,0.0,0.0,-0.157516,0.0,0.0,-0.107642,-0.034553,0.0,0.025073,-0.150946,0.0,0.0,0.0,-0.31137,0.95011,998.0,999.0,1.1204,0.9984,-0.0597,2.4448,-0.0284,0.05,13.0,-1.6,5.5877,-0.005348,499.0,35.0,95.0,5,0.7
15,BY,221,TADI2,0.5511,-1.735969,1.505649,-5.4e-5,0.132441,0.003996,-0.119572,-0.000502,-0.000768,-0.560585,-0.42814,-0.739509,6428.0,0.0,-0.050765,-0.201498,0.0,0.19488,0.081554,-0.324291,0.0,0.0,0.0,0.0,0.0,0.230225,0.457755,0.154525,0.0,0.021935,0.288209,-0.033047,-0.27012,0.97546,79.8,144.0,1.0902,1.0298,-0.0354,0.7011,0.1178,0.1,15.0,-1.45,5.5877,-0.005348,692.0,30.0,120.0,3,0.5
16,PC,222,TAAS,0.6267,-4.224977,1.831739,-0.000595,0.446234,0.005975,-0.125847,-0.000191,-0.0006,2.356739,-8.639114,5.615465,5578.0,0.0,0.0,-0.196837,0.0,0.0,0.0,-0.24176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.156623,-0.94204,0.96735,998.0,999.0,1.0902,1.0298,-0.0354,0.7011,0.1178,0.1,15.0,-1.45,5.5877,-0.005348,623.0,30.0,120.0,3,0.5
17,HM,260,TSUGA,0.4511,-2.267851,1.442529,-0.000548,0.568468,-0.001151,-0.403762,-0.000824,-0.002503,-0.241408,0.066508,0.086959,1141.0,0.0,-0.023264,0.294886,-0.271743,-0.004304,0.0,0.039012,0.0,0.0,0.0,0.0,-0.121082,0.0,0.022498,-0.097721,0.0,0.0,0.0,0.0,-0.04931,0.92272,39.3,84.0,2.1493,0.9979,-0.0175,1.4086,-0.0008,0.2,20.0,-1.1,5.1677,-0.0077681,518.0,35.0,90.0,1,0.1
18,FM,311,ACBA3,0.5632,-1.685778,1.454506,-0.000818,0.242436,0.00436,-0.140837,-0.003268,-0.001923,-0.339807,-0.204878,-0.14711,455.0,0.0,-0.581137,-0.049388,0.0,-0.021913,-0.323458,0.304165,0.0,0.0,0.044974,-0.121719,0.0,0.289979,0.0,0.416909,0.163106,0.451765,0.0,0.0,-0.098,0.94646,26.1,34.0,1.0645,0.9918,-0.0812,1.5754,-0.0272,0.15,16.0,-1.2,5.1677,-0.0077681,371.0,35.0,70.0,9,0.3
19,BE,313,ACNE2,0.5608,-0.871047,1.217898,-0.000105,0.240101,-2.2e-5,0.071213,-0.001242,-0.000826,-0.613177,0.315909,-0.237088,1426.0,0.0,0.197314,-0.002307,-0.361488,0.213336,-0.003385,-0.252234,0.0,-0.202911,-0.354429,0.37115,-0.282925,-0.250799,-0.351211,-0.15656,-0.233523,0.0,-0.011673,0.0,-0.098,0.94646,26.7,60.0,2.9435,0.9132,-0.0141,1.658,-0.1095,0.15,16.0,-1.2,5.1677,-0.0077681,344.0,35.0,70.0,9,0.3
20,RM,316,ACRU,0.593,-2.260482,1.449834,-0.000931,0.361311,0.003444,0.282436,-0.002133,-0.001383,-0.097604,-0.069753,0.094162,28402.0,0.0,-0.008575,-0.091712,-0.2265,-0.115718,-0.233899,-4.2e-5,0.0,-0.010003,-0.15782,-0.04678,0.171661,0.170429,-0.031739,0.111637,0.0,0.283893,0.0,-0.340066,-0.098,0.94646,998.0,999.0,2.9435,0.9132,-0.0141,1.658,-0.1095,0.15,16.0,-1.2,5.1677,-0.0077681,421.0,35.0,85.0,9,0.3
