species_index,ls_spi,v2t,tfall_cls,leaf_life,dkr_cls,snag_cls,bark_eqnum,snag_decayx,snag_fallx,snag_alldwn,biogrp
1,8,20.6,5,8.0,4,2,30,0.21,3.07,15.0,3
2,14,27.4,1,5.0,2,3,17,0.35,1.96,100.0,1
3,9,23.1,5,8.0,4,2,13,0.21,3.07,15.0,5
4,3,28.7,6,2.0,1,1,14,0.07,7.17,50.0,4
5,3,29.3,6,4.0,1,1,16,0.07,7.17,50.0,4
6,3,33.7,6,2.0,1,1,31,0.07,7.17,50.0,4
7,3,25.6,6,2.0,1,1,14,0.07,7.17,50.0,4
8,3,33.7,6,2.0,1,1,28,0.07,7.17,50.0,4
9,3,28.1,6,3.0,1,1,19,0.07,7.17,50.0,4
10,3,29.3,6,2.0,1,1,24,0.07,7.17,50.0,4
11,3,31.8,6,2.0,1,1,35,0.07,7.17,50.0,4
12,5,21.2,6,2.0,1,1,24,0.07,7.17,50.0,4
13,3,29.3,6,3.0,1,1,30,0.07,7.17,50.0,4
14,3,28.1,6,3.0,1,1,12,0.07,7.17,50.0,4
15,14,26.2,1,1.0,3,3,4,0.35,1.96,25.0,1
16,14,26.2,1,1.0,3,3,21,0.35,1.96,25.0,1
17,12,23.7,5,4.0,4,2,18,0.21,3.07,15.0,3
18,26,34.9,5,1.0,4,2,8,0.21,3.07,15.0,7
19,50,30.6,5,1.0,4,2,13,0.21,3.07,15.0,7
20,19,30.6,5,1.0,4,2,7,0.21,3.07,15.0,7
21,18,27.4,5,1.0,4,2,10,0.21,3.07,15.0,7
22,26,34.9,5,1.0,4,2,12,0.21,3.07,15.0,9
23,44,34.9,5,1.0,4,2,15,0.21,3.07,15.0,8
24,24,34.3,5,1.0,4,1,12,0.07,7.17,6.0,7
25,24,37.4,5,1.0,4,1,9,0.07,7.17,6.0,7
26,53,34.9,4,1.0,3,2,9,0.21,3.07,15.0,8
27,39,39.9,2,1.0,4,3,19,0.35,1.96,25.0,9
28,44,34.9,4,1.0,2,2,16,0.21,3.07,15.0,8
29,55,30.6,4,1.0,4,2,15,0.21,3.07,15.0,8
30,44,34.9,5,1.0,3,2,14,0.21,3.07,15.0,8
31,56,34.9,5,1.0,3,2,20,0.21,3.07,15.0,8
32,44,34.9,4,1.0,2,3,20,0.35,1.96,25.0,8
33,28,34.9,4,1.0,4,2,4,0.21,3.07,15.0,9
34,16,33.1,5,1.0,4,2,21,0.21,3.07,15.0,8
35,29,34.3,5,1.0,4,2,21,0.21,3.07,15.0,8
36,15,28.1,5,1.0,4,2,14,0.21,3.07,15.0,8
37,16,33.1,5,1.0,4,2,18,0.21,3.07,15.0,8
38,44,37.4,2,1.0,2,3,17,0.35,1.96,25.0,8
39,44,34.9,5,1.0,4,2,17,0.21,3.07,15.0,8
40,44,34.9,5,1.0,4,2,17,0.21,3.07,15.0,8
41,44,34.9,4,3.0,3,2,21,0.21,3.07,15.0,8
42,45,22.5,4,1.0,4,2,20,0.21,3.07,15.0,8
43,46,31.8,4,1.0,2,2,20,0.21,3.07,15.0,8
44,44,28.7,5,1.0,4,2,15,0.21,3.07,15.0,8
45,44,24.9,4,1.0,4,2,20,0.21,3.07,15.0,8
46,44,27.4,4,1.0,4,2,18,0.21,3.07,15.0,8
47,44,27.4,4,1.0,4,2,15,0.21,3.07,15.0,8
48,44,28.7,4,2.0,4,2,12,0.21,3.07,15.0,8
49,44,27.4,4,1.0,4,2,19,0.21,3.07,15.0,8
50,44,27.4,4,1.0,4,2,12,0.21,3.07,15.0,8
51,58,34.9,4,1.0,3,2,22,0.21,3.07,15.0,8
52,58,34.9,5,1.0,2,2,17,0.21,3.07,15.0,8
53,59,28.7,3,1.0,2,3,9,0.35,1.96,25.0,8
54,59,28.7,3,1.0,2,3,18,0.35,1.96,25.0,8
55,59,28.7,3,1.0,2,3,16,0.35,1.96,25.0,8
56,47,34.9,4,1.0,3,2,16,0.21,3.07,15.0,8
57,44,34.9,5,1.0,4,2,15,0.21,3.07,15.0,8
58,44,34.9,5,1.0,4,2,17,0.21,3.07,15.0,8
59,60,28.7,5,1.0,4,2,12,0.21,3.07,15.0,8
60,17,23.1,5,1.0,4,1,19,0.07,7.17,6.0,6
61,40,22.5,5,1.0,4,1,18,0.07,7.17,6.0,6
62,20,29.3,4,1.0,2,2,9,0.21,3.07,15.0,8
63,30,37.4,3,1.0,2,3,19,0.35,1.96,25.0,9
64,34,37.4,4,1.0,3,2,19,0.21,3.07,15.0,9
65,34,32.4,4,1.0,3,2,23,0.21,3.07,15.0,9
66,34,38.0,4,1.0,3,2,23,0.21,3.07,15.0,9
67,34,34.9,4,1.0,3,2,16,0.21,3.07,15.0,9
68,34,34.9,4,1.0,3,2,15,0.21,3.07,15.0,9
69,30,35.6,3,1.0,3,2,18,0.21,3.07,15.0,9
70,34,34.9,2,1.0,2,3,16,0.35,1.96,25.0,9
71,30,37.4,3,1.0,3,2,25,0.21,3.07,15.0,9
72,33,37.4,3,1.0,2,3,21,0.35,1.96,25.0,9
73,34,34.9,3,1.0,2,3,15,0.35,1.96,25.0,9
74,30,35.6,3,1.0,3,2,28,0.21,3.07,15.0,9
75,34,34.9,4,1.0,3,2,21,0.21,3.07,15.0,9
76,34,34.9,4,1.0,3,2,16,0.21,3.07,15.0,9
77,30,37.4,3,1.0,2,3,23,0.35,1.96,25.0,9
78,35,34.9,4,1.0,3,2,24,0.21,3.07,15.0,9
79,30,49.9,5,1.0,2,2,22,0.21,3.07,15.0,9
80,48,41.2,2,1.0,2,3,28,0.35,1.96,25.0,8
81,64,22.5,6,1.0,4,1,19,0.07,7.17,6.0,6
82,67,26.2,4,1.0,2,2,14,0.21,3.07,15.0,8
83,25,20.0,5,1.0,4,1,17,0.07,7.17,6.0,8
84,22,28.7,5,1.0,4,1,18,0.07,7.17,6.0,8
85,22,28.7,5,1.0,4,1,10,0.07,7.17,6.0,8
86,21,28.7,5,1.0,4,1,10,0.07,7.17,6.0,8
87,22,29.9,5,1.0,4,1,11,0.07,7.17,6.0,8
88,14,27.4,5,2.0,1,1,17,0.07,7.17,6.0,1
89,44,34.9,5,1.0,4,2,24,0.21,3.07,15.0,9
90,44,34.9,5,1.0,4,2,24,0.21,3.07,15.0,9
