species_index,htdbh_p2,htdbh_p3,htdbh_p4,htdbh_db,htdbh_iwykca,htdbh_ht1,htdbh_ht2
84,163.9728054,2.76819717,-0.44098009,0.2,0,4.433,-4.5383
85,319.9788466,3.67313408,-0.30651323,0.2,1,4.3802,-4.7903
86,690.4917743,4.15983216,-0.18613455,0.2,0,4.1352,-3.745
87,484.7529797,3.93933286,-0.25998833,0.1,0,4.4207,-5.1435
88,644.3567687,3.92045786,-0.21444786,0.1,0,4.6355,-5.2776
89,190.9797059,3.69278884,-0.52730469,0.1,0,4.9396,-8.1838
90,880.2844971,4.59642097,-0.21824277,0.1,1,4.4299,-4.992
91,408.2772475,3.81808285,-0.27210505,0.1,0,4.4911,-5.7928
92,755.1038099,4.39496421,-0.21778831,0.1,1,4.3383,-4.5018
93,293.5715132,3.52261899,-0.35122247,0.1,0,4.5820,-5.0903
94,293.5715132,3.52261899,-0.35122247,0.1,0,4.582,-5.0903
95,1005.80672,4.6473994,-0.20336143,0.1,0,4.3744,-4.5257
96,418.5941897,3.17038578,-0.18964025,0.1,0,4.6008,-7.2732
97,1337.547184,4.48953501,-0.14749529,0.1,0,4.6238,-7.4847
98,484.7529797,3.93933286,-0.25998833,0.1,0,4.4207,-5.1435
99,285.8797853,3.52138815,-0.3193688,0.3,0,4.5018,-5.6123
100,484.7529797,3.93933286,-0.25998833,0.1,0,4.4207,-5.1435
101,484.7529797,3.93933286,-0.25998833,0.1,0,4.4207,-5.1435
102,484.7529797,3.93933286,-0.25998833,0.1,0,4.4207,-5.1435
103,109.7324294,2.25025802,-0.41297463,0.2,1,4.0322,-3.0833
104,863.0501053,4.38560239,-0.14812185,0.1,0,3.7301,-2.7758
105,484.7529797,3.93933286,-0.25998833,0.1,0,4.4207,-5.1435
106,109.7324294,2.25025802,-0.41297463,0.2,0,4.0322,-3.0833
107,574.0200612,3.86373895,-0.16318776,0.2,0,3.9678,-3.251
108,484.7529797,3.93933286,-0.25998833,0.1,0,4.4207,-5.1435
