iftr
0
143
390
676
1070
1249
1608
1854
2410
3542
4167
1570
1800
2200
2900
3815
4499
4900
6043
7140
8880
10000
11528
13290
14990
17499
18990
20880
23510
25218
28677
31249
34220
36376
38040
41060
44376
45975
48990
50000
54688
57660
64319
66731
70000
75240
79480
83910
87190
92501
94990
99075
103501
107970
112292
116990
121650
126525
131510
136510
141610
146912
152210
157710
163288
168990
174850
180749
186623
193170
199120
205685
211810
218501
225685
232499
239317
246615
254040
261525
269040
276630
284260
292501
300655
308970
317360
325790
334217
343290
350785
359120
368380
376610
385135
393380
402499
410834
419166
428380
437499
446565
455010
464150
473430
482490
491700
501700
511700
521700
531700
541700
552499
562501
573350
583350
594150
604170
615010
625890
636660
648380
660000
671700
683330
695011
1160
1400
1501
2084
3126
3749
