code_alpha,code_fia,code_plants,target_bm,target_bm2,target_bm3,target_bm4
,,CEMOP,OH,OH,OH,OH
,,CEOC,OH,OH,OH,OH
,,CERCO,OH,OH,OH,OH
CS,040,CHAMA4,OS,OS,OS,OS
,,CHCH7,OH,OH,OH,OH
GC,431,CHCHC4,OH,OH,OH,OH
,,CHCHM,OH,OH,OH,OH
PC,041,CHLA,OS,OS,OS,OS
,,CHRYS15,OH,OH,OH,OH
HZ,,COCO6,OH,OH,OH,OH
,,COCOC,OH,OH,OH,OH
,,COGL3,OH,OH,OH,OH
DG,492,CONU4,OH,OH,OH,OH
DS,490,CORNU,OH,OH,OH,OH
,,CORYL,OH,OH,OH,OH
,,COSE16,OH,OH,OH,OH
,,COSE3,OH,OH,OH,OH
,,COSEO,OH,OH,OH,OH
,,COSES,OH,OH,OH,OH
HT,500,CRATA,OH,OH,OH,OH
,,CRCH,OH,OH,OH,OH
,,CRCR2,OH,OH,OH,OH
,,CRDO2,OH,OH,OH,OH
,,CRER,OH,OH,OH,OH
,,CRMO3,OH,OH,OH,OH
,,CRRI,OH,OH,OH,OH
,,CRSA2,OH,OH,OH,OH
,,CRSU16,OH,OH,OH,OH
,,CRSU5,OH,OH,OH,OH
,,CUAB,OS,OS,OS,OS
AC,051,CUAR,OS,OS,OS,OS
,,CUARA,OS,OS,OS,OS
,,CUARN2,OS,OS,OS,OS
,,CUARS2,OS,OS,OS,OS
CC,052,CUBA,OS,OS,OS,OS
TC,053,CUFO2,OS,OS,OS,OS
,,CUGO,OS,OS,OS,OS
,,CUGOG,OS,OS,OS,OS
,,CUGOP2,OS,OS,OS,OS
,,CUMA,OS,OS,OS,OS
MO,054,CUMA2,OS,OS,OS,OS
CU,050,CUPRE,OS,OS,OS,OS
SA,055,CUSA3,OS,OS,OS,OS
,,DIOSP,OH,OH,OH,OH
,,DIVI5,OH,OH,OH,OH
,,ELAEA,OH,OH,OH,OH
,,ELAN,OH,OH,OH,OH
,,ERJA3,OH,OH,OH,OH
,,EUCA2,OH,OH,OH,OH
,,EUCAL,OH,OH,OH,OH
,,EUCL,OH,OH,OH,OH
,,EUGL,OH,OH,OH,OH
,,EUGLG,OH,OH,OH,OH
,,EUMO5,OH,OH,OH,OH
,,EUPO,OH,OH,OH,OH
,,EUPU,OH,OH,OH,OH
,,EUSI2,OH,OH,OH,OH
,,EUTE,OH,OH,OH,OH
,,EUTO11,OH,OH,OH,OH
,,EUVI,OH,OH,OH,OH
,,FICA,OH,OH,OH,OH
,,FICUS,OH,OH,OH,OH
,,FIPA2,OH,OH,OH,OH
,,FIRU4,OH,OH,OH,OH
,,FRAN2,GA,GA,GA,GA
,,FRANA,GA,GA,GA,GA
,,FRANL,GA,GA,GA,GA
OX,540,FRAXI,GA,GA,GA,GA
,,FRCA6,OH,OH,OH,OH
,,FRCU,GA,GA,GA,GA
,,FRDI2,GA,GA,GA,GA
,,FRGO,GA,GA,GA,GA
,,FRGR2,GA,GA,GA,GA
FL,542,FRLA,GA,GA,GA,GA
,,FRME2,OH,OH,OH,OH
,,FRPA4,GA,GA,GA,GA
GA,544,FRPE,GA,GA,GA,GA
BT,,FRPU7,OH,OH,OH,OH
,,FRUH,GA,GA,GA,GA
VA,547,FRVE2,GA,GA,GA,GA
,,GLEDI,OH,OH,OH,OH
,,GLTR,OH,OH,OH,OH
,,ILAQ80,OH,OH,OH,OH
,,ILAT,OH,OH,OH,OH
,,ILEX,OH,OH,OH,OH
J,,,RM,RM,RM,RM
SB,604,JUCA,OH,OH,OH,OH
CJ,062,JUCA7,OS,OS,OS,OS
RJ,059,JUCO11,OS,OS,OS,OS
,,JUCO6,RM,RM,RM,RM
,,JUCOA2,OS,OS,OS,OS
,,JUCOC2,OS,OS,OS,OS
,,JUCOD,RM,RM,RM,RM
,,JUCOM2,RM,RM,RM,RM
,,JUCOS2,RM,RM,RM,RM
AJ,063,JUDE2,OS,OS,OS,OS
WN,600,JUGLA,OH,OH,OH,OH
CA,603,JUHI,OH,OH,OH,OH
,,JUMA,OH,OH,OH,OH
TW,605,JUMI,OH,OH,OH,OH
OJ,069,JUMO,OS,OS,OS,OS
