sp,c1
1,0.09817
2,-0.21337
3,-0.04562
4,-0.01215
5,0.08277
6,-0.06625
7,0.00325
8,-0.13091
9,-0.12473
10,-0.09976
11,0.17935
12,0.17935
13,0.17935
14,-0.04562
15,0.17935
