sp,c1
1,0.03517
2,0.03730
3,0.02591
4,0.00917
5,0.02863
6,-0.00175
7,-0.00480
8,0.06259
9,0.06313
10,0.03229
11,0.08518
12,0.08518
13,0.08518
14,0.02591
15,0.08518
