sp,c1
1,-0.17888
2,0.33523
3,0.78176
4,1.17025
5,0.04966
6,0.11931
7,0.46546
8,0.65622
9,0.30070
10,-0.06637
11,0.07628
12,0.07628
13,0.07628
14,0.78176
15,0.07628
