sp,c1
1,0.0
2,-0.70216
3,-1.12380
4,-1.52006
5,0.0
6,0.0
7,-0.58014
8,-0.90143
9,-0.62224
10,-0.43720
11,0.0
12,0.0
13,0.0
14,-1.12380
15,0.0
