sp,c1
1,-0.000467
2,-0.000433
3,-0.000377
4,-0.000117
5,-0.000422
6,-0.000067
7,-0.000058
8,-0.000709
9,-0.000676
10,-0.000422
11,-0.000943
12,-0.000943
13,-0.000943
14,-0.000377
15,-0.000943
