sp,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11
1,1,2,2,2,2,1,2,1,1,1,2
2,1,2,1,1,1,1,1,1,1,1,2
3,1,4,2,2,2,3,1,4,1,1,4
4,1,1,1,1,1,2,2,3,1,2,1
5,1,3,1,2,3,1,1,1,1,1,3
6,1,1,2,1,1,1,1,2,1,2,1
7,1,1,2,2,1,1,2,3,1,4,1
8,1,1,2,1,1,1,3,2,1,1,1
9,1,2,2,1,2,1,1,2,1,1,2
10,1,2,2,2,2,3,3,2,1,1,2
11,1,2,1,1,1,1,1,1,2,1,2
12,1,2,1,1,1,1,1,1,2,1,2
13,1,2,1,1,1,1,1,1,2,1,2
14,1,4,2,2,2,3,1,4,1,1,4
15,1,2,1,1,1,1,1,1,2,1,2
