species_index,v2t,ls_spi
1,22.5,15
2,29.9,8
3,28.7,3
4,24.9,4
5,19.3,7
6,21.8,4
7,23.7,11
8,20.6,18
9,19.3,1
10,23.7,13
11,26.2,6
12,26.2,24
13,26.2,7
14,22.5,14
15,23.1,4
16,21.8,4
17,29.9,1
18,26.2,8
19,34.9,16
20,27.4,5
21,27.4,5
22,23.1,23
23,29.9,43
24,36.2,17
25,27.4,56
26,21.8,41
27,19.3,17
28,37.4,17
29,29.3,61
30,22.5,64
31,26.2,24
32,21.8,41
