code_alpha,code_fia,code_plants,target_nc,target_nc2,target_nc3,target_nc4
CK,826,QUMU,OH,OH,OH,OH
MK,829,QUOB,OH,OH,OH,OH
IO,839,QUWI2,BO,BO,BO,BO
NM,902,RONE,OH,OH,OH,OH
RP,901,ROPS,OH,OH,OH,OH
WI,920,SALIX,OH,OH,OH,OH
SU,928,SASC,OH,OH,OH,OH
GS,212,SEGI2,OS,OS,OS,OS
PY,231,TABR2,OS,OS,OS,OS
OY,230,TAXUS,OS,OS,OS,OS
RC,242,THPL,OS,OS,OS,OS
TS,240,THUJA,OS,OS,OS,OS
CN,251,TOCA,OS,OS,OS,OS
WH,263,TSHE,DF,DF,DF,DF
MH,264,TSME,OS,OS,OS,OS
HS,260,TSUGA,DF,DF,DF,DF
CL,981,UMCA,OH,OH,OH,OH
