code_alpha,code_fia,code_plants,target_ca,target_ca2,target_ca3,target_ca4
,,FICA,OH,OH,OH,OH
,,FICUS,OH,OH,OH,OH
,,FIPA2,OH,OH,OH,OH
,,FIRU4,OH,OH,OH,OH
,,FRAN2,OH,OH,OH,OH
,,FRANA,OH,OH,OH,OH
,,FRANL,OH,OH,OH,OH
OX,540,FRAXI,FL,FL,FL,FL
,,FRCA6,OH,OH,OH,OH
,,FRCU,OH,OH,OH,OH
,,FRDI2,OH,OH,OH,OH
,,FRGO,OH,OH,OH,OH
,,FRGR2,OH,OH,OH,OH
FL,542,FRLA,FL,FL,FL,FL
,,FRME2,OH,OH,OH,OH
,,FRPA4,OH,OH,OH,OH
GA,544,FRPE,OH,OH,OH,OH
BT,,FRPU7,OH,OH,OH,OH
,,FRUH,OH,OH,OH,OH
VA,547,FRVE2,OH,OH,OH,OH
,,GLEDI,OH,OH,OH,OH
,,GLTR,OH,OH,OH,OH
,,ILAQ80,OH,OH,OH,OH
,,ILAT,OH,OH,OH,OH
,,ILEX,OH,OH,OH,OH
J,,,WJ,WJ,WJ,WJ
SB,604,JUCA,WN,WN,WN,WN
CJ,062,JUCA7,WJ,WJ,WJ,WJ
RJ,059,JUCO11,OS,OS,OS,OS
,,JUCO6,WJ,WJ,WJ,WJ
,,JUCOA2,OS,OS,OS,OS
,,JUCOC2,OS,OS,OS,OS
,,JUCOD,WJ,WJ,WJ,WJ
,,JUCOM2,WJ,WJ,WJ,WJ
,,JUCOS2,WJ,WJ,WJ,WJ
AJ,063,JUDE2,OS,OS,OS,OS
WN,600,JUGLA,WN,WN,WN,WN
CA,603,JUHI,WN,WN,WN,WN
,,JUMA,OH,OH,OH,OH
TW,605,JUMI,OH,OH,OH,OH
OJ,069,JUMO,OS,OS,OS,OS
,,JUNI,OH,OH,OH,OH
JU,057,JUNIP,WJ,WJ,WJ,WJ
WJ,064,JUOC,WJ,WJ,WJ,WJ
,,JUOCA,WJ,WJ,WJ,WJ
,,JUOCO,WJ,WJ,WJ,WJ
UJ,065,JUOS,OS,OS,OS,OS
PJ,058,JUPI,OS,OS,OS,OS
,,JURE80,OH,OH,OH,OH
RM,066,JUSC2,OS,OS,OS,OS
ER,068,JUVI,OS,OS,OS,OS
,,JUVIV,OS,OS,OS,OS
,,KOPA,OH,OH,OH,OH
L,,,OS,OS,OS,OS
,,LAAN2,OH,OH,OH,OH
TA,071,LALA,OS,OS,OS,OS
LL,072,LALY,OS,OS,OS,OS
,,LANO80,OH,OH,OH,OH
WL,073,LAOC,OS,OS,OS,OS
OL,070,LARIX,OS,OS,OS,OS
TO,631,LIDE3,TO,TO,TO,TO
,,LIDED2,TO,TO,TO,TO
,,LIDEE,TO,TO,TO,TO
,,LIST2,OH,OH,OH,OH
,,LITHO,TO,TO,TO,TO
,,LYFL2,OH,OH,OH,OH
,,LYFLA,OH,OH,OH,OH
,,LYFLF,OH,OH,OH,OH
,,LYONO,OH,OH,OH,OH
M,,,MA,MA,MA,MA
,,MADA5,OH,OH,OH,OH
OR,661,MAFU,OH,OH,OH,OH
AL,660,MALUS,OH,OH,OH,OH
,,MAPU,OH,OH,OH,OH
OC,,,OS,OS,OS,OS
OH,,,OH,OH,OH,OH
DI,990,OLTE,OH,OH,OH,OH
OS,,,OS,OS,OS,OS
,,OSKN,OH,OH,OH,OH
,,OSVI,OH,OH,OH,OH
OT,,,OH,OH,OH,OH
WB,101,PIAL,WB,WB,WB,WB
BC,102,PIAR,OS,OS,OS,OS
AR,135,PIAR5,OS,OS,OS,OS
,,PIARA,OS,OS,OS,OS
,,PIARS2,OS,OS,OS,OS
KP,103,PIAT,KP,KP,KP,KP
,,PIAT2,MP,MP,MP,MP
,,PIAT4,OH,OH,OH,OH
FP,104,PIBA,WB,WB,WB,WB
,,PIBAA,WB,WB,WB,WB
,,PIBAB,WB,WB,WB,WB
BR,092,PIBR,BR,BR,BR,BR
ME,140,PICE,OS,OS,OS,OS
SR,090,PICEA,BR,BR,BR,BR
,,PICH4,OH,OH,OH,OH
LP,108,PICO,LP,LP,LP,LP
CP,109,PICO3,CP,CP,CP,CP
,,PICOB,OS,OS,OS,OS
,,PICOC,OS,OS,OS,OS
,,PICOL,LP,LP,LP,LP
,,PICOM,LP,LP,LP,LP
PD,134,PIDI3,OS,OS,OS,OS
PI,106,PIED,OS,OS,OS,OS
ES,093,PIEN,BR,BR,BR,BR
AP,112,PIEN2,OS,OS,OS,OS
,,PIENE,BR,BR,BR,BR
,,PIENM2,BR,BR,BR,BR
LM,113,PIFL2,LM,LM,LM,LM
WS,094,PIGL,OS,OS,OS,OS
,,PIHA7,OS,OS,OS,OS
JP,116,PIJE,JP,JP,JP,JP
SP,117,PILA,SP,SP,SP,SP
CI,118,PILE,OS,OS,OS,OS
,,PILEC,OS,OS,OS,OS
GB,142,PILO,OS,OS,OS,OS
LS,,PILU,OS,OS,OS,OS
BE,095,PIMA,OS,OS,OS,OS
PM,133,PIMO,OS,OS,OS,OS
WP,119,PIMO3,WP,WP,WP,WP
,,PIMOC,OS,OS,OS,OS
