species_index,code_alpha,code_fia,code_plants
1,WP,119,PIMO3
2,WL,73,LAOC
3,DF,202,PSME
4,GF,17,ABGR
5,WH,263,TSHE
6,RC,242,THPL
7,LP,108,PICO
8,ES,93,PIEN
9,AF,19,ABLA
10,PP,122,PIPO
11,OT,999,2TREE
