species_index,dg_interc,dg_vdbh,dg_dbh,dg_dbh2,dg_rdbh,dg_rdbhsq,dg_sba,dg_bal,dg_crwn,dg_crsq,dg_site,dg_observ
54,3.0308,-8.1059,0.0,0.0,0.0,0.0,-0.00179,0.0,0.00489,0.0,0.0,589.0
55,1.2352,-5.2144,0.183,-0.00314,0.0,0.0,-0.00439,0.00331,0.02814,-0.00011,0.00447,5969.0
56,3.0308,-8.1059,0.0,0.0,0.0,0.0,-0.00179,0.0,0.00489,0.0,0.0,589.0
57,3.0308,-8.1059,0.0,0.0,0.0,0.0,-0.00179,0.0,0.00489,0.0,0.0,589.0
58,3.0308,-8.1059,0.0,0.0,0.0,0.0,-0.00179,0.0,0.00489,0.0,0.0,589.0
59,-0.28233,0.0,0.0,0.01581,3.37463,-0.26631,0.0,0.0,0.0165,0.0,0.0,677.0
60,3.8669,-8.8704,0.0,0.0,0.0,0.0,0.0,-0.00535,0.02034,0.0,0.0,1422.0
61,3.0308,-8.1059,0.0,0.0,0.0,0.0,-0.00179,0.0,0.00489,0.0,0.0,589.0
62,3.0308,-8.1059,0.0,0.0,0.0,0.0,-0.00179,0.0,0.00489,0.0,0.0,589.0
63,3.0308,-8.1059,0.0,0.0,0.0,0.0,-0.00179,0.0,0.00489,0.0,0.0,589.0
64,3.8669,-8.8704,0.0,0.0,0.0,0.0,0.0,-0.00535,0.02034,0.0,0.0,1422.0
65,3.8669,-8.8704,0.0,0.0,0.0,0.0,0.0,-0.00535,0.02034,0.0,0.0,1422.0
66,3.8669,-8.8704,0.0,0.0,0.0,0.0,0.0,-0.00535,0.02034,0.0,0.0,1422.0
67,3.3841,-10.282,0.0,0.0,0.0,0.0,0.0,-0.0017,0.03201,-0.00026,0.0,1028.0
68,3.0308,-8.1059,0.0,0.0,0.0,0.0,-0.00179,0.0,0.00489,0.0,0.0,589.0
