species_index,code_alpha,code_fia,code_plants,estab_min_ht,estab_hht_max,dg_resid_sd,bark_intercept,bark_slope,varmrt_varadj,sdi_max_default,dbh_min,crown_bcr1,crown_bcr2,crown_bcr3,crown_bcr4,mort_bkgd_intercept,mort_bkgd_dbh
41,QA,746,POTR5,0.5,20.0,0.59741,0.0,0.92,0.1,562.0,5.0,4.0,0.0024,-2.83,0.021,5.9617,-0.0340128
42,BP,741,POBA2,0.5,20.0,0.59741,0.0,0.92,0.1,384.0,5.0,4.0,0.0024,-2.83,0.021,5.9617,-0.0340128
43,PB,375,BEPA,0.5,20.0,0.74732,0.0,0.94,0.3,466.0,5.0,5.0,0.0066,4.92,-0.0263,5.9617,-0.0340128
44,,,,0.5,20.0,0.74594,0.0,0.94,0.1,283.0,5.0,4.0,0.0024,-2.83,0.021,5.1676998,-0.0077681
45,BN,601,JUCI,0.5,20.0,0.74594,0.0,0.94,0.3,283.0,5.0,4.0,0.0024,-2.83,0.021,5.9617,-0.0340128
46,WN,602,JUNI,0.5,20.0,0.74594,0.0,0.94,0.3,283.0,5.0,4.0,0.0024,-2.83,0.021,5.9617,-0.0340128
47,HH,701,OSVI,0.5,20.0,0.68272,0.0,0.94,0.7,304.0,5.0,4.0,0.0024,-2.83,0.021,5.1676998,-0.0077681
48,BK,901,ROPS,0.5,20.0,0.77412,0.0,0.94,0.1,343.0,5.0,4.0,0.0024,-2.83,0.021,5.1676998,-0.0077681
49,OH,998,2TB,0.5,20.0,0.91254,0.0,0.92,0.3,257.0,5.0,4.0,0.0024,-2.83,0.021,5.9617,-0.0340128
50,BE,313,ACNE2,0.5,20.0,0.91254,0.0,0.92,0.7,344.0,5.0,4.0,0.0024,-2.83,0.021,5.9617,-0.0340128
51,ST,315,ACPE,0.5,20.0,0.91254,0.0,0.92,0.9,243.0,5.0,4.0,0.0024,-2.83,0.021,5.9617,-0.0340128
52,MM,319,ACSP2,0.5,20.0,0.91254,0.0,0.92,0.5,243.0,5.0,4.0,0.0024,-2.83,0.021,5.9617,-0.0340128
53,AH,391,CACA18,0.5,20.0,0.68013,0.0,0.92,0.9,375.0,5.0,4.0,0.0024,-2.83,0.021,5.1676998,-0.0077681
54,AC,421,CADE12,0.5,20.0,0.68013,0.0,0.92,0.9,243.0,5.0,4.0,0.0024,-2.83,0.021,5.9617,-0.0340128
55,HK,462,CEOC,0.5,20.0,0.65725,0.0,0.92,0.5,420.0,5.0,4.0,0.0024,-2.83,0.021,5.9617,-0.0340128
56,DW,491,COFL2,0.5,20.0,0.68013,0.0,0.92,0.9,257.0,5.0,4.0,0.0024,-2.83,0.021,5.1676998,-0.0077681
57,HT,500,CRATA,0.5,20.0,0.68013,0.0,0.92,0.3,463.0,5.0,4.0,0.0024,-2.83,0.021,5.9617,-0.0340128
58,AP,660,MALUS,0.5,20.0,0.68013,0.0,0.92,0.4,422.0,5.0,4.0,0.0024,-2.83,0.021,5.9617,-0.0340128
59,BG,693,NYSY,0.5,20.0,0.66815,0.0,0.92,0.3,430.0,5.0,4.0,0.0024,-2.83,0.021,5.1676998,-0.0077681
60,SY,731,PLOC,0.5,20.0,0.80347,0.0,0.92,0.5,499.0,5.0,4.0,0.0024,-2.83,0.021,5.9617,-0.0340128
61,PR,761,PRPE2,0.5,20.0,0.68013,0.0,0.92,0.1,463.0,5.0,4.0,0.0024,-2.83,0.021,5.9617,-0.0340128
62,CC,763,PRVI,0.5,20.0,0.68013,0.0,0.92,0.5,463.0,5.0,4.0,0.0024,-2.83,0.021,5.9617,-0.0340128
63,PL,760,PRUNU,0.5,20.0,0.68013,0.0,0.92,0.3,463.0,5.0,4.0,0.0024,-2.83,0.021,5.9617,-0.0340128
64,WI,920,SALIX,0.5,20.0,0.80347,0.0,0.92,0.9,447.0,5.0,4.0,0.0024,-2.83,0.021,5.1676998,-0.0077681
65,BL,922,SANI,0.5,20.0,0.80347,0.0,0.92,0.1,447.0,5.0,4.0,0.0024,-2.83,0.021,5.1676998,-0.0077681
66,DM,923,SAERF,0.5,20.0,0.80347,0.0,0.92,0.5,447.0,5.0,4.0,0.0024,-2.83,0.021,5.9617,-0.0340128
67,SS,931,SAAL5,0.5,20.0,0.63500,0.0,0.92,0.3,492.0,5.0,4.0,0.0024,-2.83,0.021,5.1676998,-0.0077681
68,MA,935,SOAM3,0.5,20.0,0.68013,0.0,0.92,0.5,338.0,5.0,4.0,0.0024,-2.83,0.021,5.9617,-0.0340128
