species_index,bio_group
1,4
2,4
3,4
4,4
5,4
6,5
7,5
8,3
9,3
10,1
11,1
12,3
13,1
14,1
15,8
16,8
17,6
18,7
19,7
20,8
21,8
22,8
23,8
24,7
25,8
26,9
27,9
28,9
29,8
30,9
31,9
32,9
33,9
34,9
35,9
36,9
37,9
38,9
39,9
40,6
41,6
42,6
43,7
44,8
45,8
46,8
47,8
48,8
49,8
50,7
51,7
52,7
53,8
54,8
55,8
56,8
57,8
58,8
59,8
60,8
61,8
62,8
63,8
64,6
65,6
66,6
67,8
68,8
