code_alpha,code_fia,code_plants,target_kt,target_kt2,target_kt3,target_kt4
,,FICUS,OT,OT,OT,OT
,,FIPA2,OT,OT,OT,OT
,,FIRU4,OT,OT,OT,OT
,,FRAN2,OT,OT,OT,OT
,,FRANA,OT,OT,OT,OT
,,FRANL,OT,OT,OT,OT
OX,540,FRAXI,OT,OT,OT,OT
,,FRCA6,OT,OT,OT,OT
,,FRCU,OT,OT,OT,OT
,,FRDI2,OT,OT,OT,OT
,,FRGO,OT,OT,OT,OT
,,FRGR2,OT,OT,OT,OT
FL,542,FRLA,OT,OT,OT,OT
,,FRME2,OT,OT,OT,OT
,,FRPA4,OT,OT,OT,OT
GA,544,FRPE,OT,OT,OT,OT
BT,,FRPU7,OT,OT,OT,OT
,,FRUH,OT,OT,OT,OT
VA,547,FRVE2,OT,OT,OT,OT
,,GLEDI,OT,OT,OT,OT
,,GLTR,OT,OT,OT,OT
,,ILAQ80,OT,OT,OT,OT
,,ILAT,OT,OT,OT,OT
,,ILEX,OT,OT,OT,OT
J,,,OT,OT,OT,OT
SB,604,JUCA,OT,OT,OT,OT
CJ,062,JUCA7,OT,OT,OT,OT
RJ,059,JUCO11,OT,OT,OT,OT
,,JUCO6,OT,OT,OT,OT
,,JUCOA2,OT,OT,OT,OT
,,JUCOC2,OT,OT,OT,OT
,,JUCOD,OT,OT,OT,OT
,,JUCOM2,OT,OT,OT,OT
,,JUCOS2,OT,OT,OT,OT
AJ,063,JUDE2,OT,OT,OT,OT
WN,600,JUGLA,OT,OT,OT,OT
CA,603,JUHI,OT,OT,OT,OT
,,JUMA,OT,OT,OT,OT
TW,605,JUMI,OT,OT,OT,OT
OJ,069,JUMO,OT,OT,OT,OT
,,JUNI,OT,OT,OT,OT
JU,057,JUNIP,OT,OT,OT,OT
WJ,064,JUOC,OT,OT,OT,OT
,,JUOCA,OT,OT,OT,OT
,,JUOCO,OT,OT,OT,OT
UJ,065,JUOS,OT,OT,OT,OT
PJ,058,JUPI,OT,OT,OT,OT
,,JURE80,OT,OT,OT,OT
RM,066,JUSC2,OT,OT,OT,OT
ER,068,JUVI,OT,OT,OT,OT
,,JUVIV,OT,OT,OT,OT
,,KOPA,OT,OT,OT,OT
L,,,WL,WL,WL,WL
,,LAAN2,OT,OT,OT,OT
TA,071,LALA,WL,WL,WL,WL
LL,072,LALY,WL,WL,WL,WL
,,LANO80,OT,OT,OT,OT
WL,073,LAOC,WL,WL,WL,WL
OL,070,LARIX,WL,WL,WL,WL
TO,631,LIDE3,OT,OT,OT,OT
,,LIDED2,OT,OT,OT,OT
,,LIDEE,OT,OT,OT,OT
,,LIST2,OT,OT,OT,OT
,,LITHO,OT,OT,OT,OT
,,LYFL2,OT,OT,OT,OT
,,LYFLA,OT,OT,OT,OT
,,LYFLF,OT,OT,OT,OT
,,LYONO,OT,OT,OT,OT
M,,,OT,OT,OT,OT
,,MADA5,OT,OT,OT,OT
OR,661,MAFU,OT,OT,OT,OT
AL,660,MALUS,OT,OT,OT,OT
,,MAPU,OT,OT,OT,OT
OC,,,OT,OT,OT,OT
OH,,,OT,OT,OT,OT
DI,990,OLTE,OT,OT,OT,OT
OS,,,OT,OT,OT,OT
,,OSKN,OT,OT,OT,OT
,,OSVI,OT,OT,OT,OT
OT,,,OT,OT,OT,OT
WB,101,PIAL,LP,LP,LP,LP
BC,102,PIAR,OT,OT,OT,OT
AR,135,PIAR5,OT,OT,OT,OT
,,PIARA,OT,OT,OT,OT
,,PIARS2,OT,OT,OT,OT
KP,103,PIAT,OT,OT,OT,OT
,,PIAT2,OT,OT,OT,OT
,,PIAT4,OT,OT,OT,OT
FP,104,PIBA,OT,OT,OT,OT
,,PIBAA,OT,OT,OT,OT
,,PIBAB,OT,OT,OT,OT
BR,092,PIBR,OT,OT,OT,OT
ME,140,PICE,OT,OT,OT,OT
SR,090,PICEA,ES,ES,ES,ES
,,PICH4,OT,OT,OT,OT
LP,108,PICO,LP,LP,LP,LP
CP,109,PICO3,OT,OT,OT,OT
,,PICOB,OT,OT,OT,OT
,,PICOC,OT,OT,OT,OT
,,PICOL,LP,LP,LP,LP
,,PICOM,LP,LP,LP,LP
PD,134,PIDI3,OT,OT,OT,OT
PI,106,PIED,OT,OT,OT,OT
ES,093,PIEN,ES,ES,ES,ES
AP,112,PIEN2,OT,OT,OT,OT
,,PIENE,ES,ES,ES,ES
,,PIENM2,ES,ES,ES,ES
LM,113,PIFL2,OT,OT,OT,OT
WS,094,PIGL,ES,ES,ES,ES
,,PIHA7,OT,OT,OT,OT
JP,116,PIJE,OT,OT,OT,OT
SP,117,PILA,OT,OT,OT,OT
CI,118,PILE,OT,OT,OT,OT
,,PILEC,OT,OT,OT,OT
GB,142,PILO,OT,OT,OT,OT
LS,,PILU,OT,OT,OT,OT
BE,095,PIMA,OT,OT,OT,OT
PM,133,PIMO,OT,OT,OT,OT
WP,119,PIMO3,WP,WP,WP,WP
,,PIMOC,OT,OT,OT,OT
AZ,143,PIMOF,OT,OT,OT,OT
,,PIMOM2,OT,OT,OT,OT
BP,120,PIMU,OT,OT,OT,OT
PN,136,PINI,OT,OT,OT,OT
OP,100,PINUS,LP,LP,LP,LP
,,PIPI7,OT,OT,OT,OT
PP,122,PIPO,PP,PP,PP,PP
,,PIPOP,PP,PP,PP,PP
,,PIPOS,PP,PP,PP,PP
BS,096,PIPU,ES,ES,ES,ES
FO,138,PIQU,OT,OT,OT,OT
MP,124,PIRA2,OT,OT,OT,OT
GP,127,PISA2,OT,OT,OT,OT
SS,098,PISI,OT,OT,OT,OT
SW,114,PIST3,OT,OT,OT,OT
,,PISTA,OT,OT,OT,OT
ST,130,PISY,OT,OT,OT,OT
TP,139,PITO,OT,OT,OT,OT
,,PITOI2,OT,OT,OT,OT
,,PITOT2,OT,OT,OT,OT
WE,137,PIWA,OT,OT,OT,OT
SY,730,PLRA,OT,OT,OT,OT
,,PLWR2,OT,OT,OT,OT
,,POAC5,OT,OT,OT,OT
,,POAL7,OT,OT,OT,OT
NC,749,POAN3,OT,OT,OT,OT
BA,741,POBA2,OT,OT,OT,OT
,,POBAB2,OT,OT,OT,OT
CW,747,POBAT,OT,OT,OT,OT
,,POBR7,OT,OT,OT,OT
,,POCA19,OT,OT,OT,OT
,,PODE3,OT,OT,OT,OT
PW,745,PODEM,OT,OT,OT,OT
,,PODEW,OT,OT,OT,OT
FC,748,POFR2,OT,OT,OT,OT
,,POFRF3,OT,OT,OT,OT
,,POFRM,OT,OT,OT,OT
,,POHI8,OT,OT,OT,OT
,,POIN23,OT,OT,OT,OT
,,POJA2,OT,OT,OT,OT
,,PONI,OT,OT,OT,OT
,,POPA11,OT,OT,OT,OT
CO,740,POPUL,OT,OT,OT,OT
AS,746,POTR5,OT,OT,OT,OT
,,PRAM,OT,OT,OT,OT
,,PRAV,OT,OT,OT,OT
,,PRCE,OT,OT,OT,OT
,,PRDO,OT,OT,OT,OT
CH,768,PREM,OT,OT,OT,OT
,,PREME,OT,OT,OT,OT
HM,756,PRGL2,OT,OT,OT,OT
MQ,755,PROSO,OT,OT,OT,OT
SM,758,PRPU,OT,OT,OT,OT
PL,760,PRUNU,OT,OT,OT,OT
VM,757,PRVE,OT,OT,OT,OT
,,PRVID,OT,OT,OT,OT
,,PRVIM,OT,OT,OT,OT
,,PRVIV,OT,OT,OT,OT
OD,200,PSEUD7,DF,DF,DF,DF
BD,201,PSMA,OT,OT,OT,OT
DF,202,PSME,DF,DF,DF,DF
,,PSMEG,DF,DF,DF,DF
,,PSMEM,DF,DF,DF,DF
,,PYCO,OT,OT,OT,OT
LO,801,QUAG,OT,OT,OT,OT
,,QUAGA,OT,OT,OT,OT
,,QUAGO,OT,OT,OT,OT
AW,803,QUAR,OT,OT,OT,OT
,,QUBE5,OT,OT,OT,OT
CY,805,QUCH2,OT,OT,OT,OT
,,QUCHC,OT,OT,OT,OT
,,QUCHN,OT,OT,OT,OT
,,QUCO7,OT,OT,OT,OT
BL,807,QUDO,OT,OT,OT,OT
,,QUDU,OT,OT,OT,OT
,,QUDU4,OT,OT,OT,OT
EM,810,QUEM,OT,OT,OT,OT
EO,811,QUEN,OT,OT,OT,OT
OA,800,QUERC,OT,OT,OT,OT
WO,815,QUGA4,OT,OT,OT,OT
GO,814,QUGA,OT,OT,OT,OT
,,QUGAF,OT,OT,OT,OT
,,QUGAG,OT,OT,OT,OT
,,QUGAG2,OT,OT,OT,OT
,,QUGAS,OT,OT,OT,OT
GR,846,QUGR3,OT,OT,OT,OT
SO,843,QUHY,OT,OT,OT,OT
,,QUJO3,OT,OT,OT,OT
BO,818,QUKE,OT,OT,OT,OT
VO,821,QULO,OT,OT,OT,OT
BK,823,QUMA2,OT,OT,OT,OT
,,QUMO2,OT,OT,OT,OT
CK,826,QUMU,OT,OT,OT,OT
MK,829,QUOB,OT,OT,OT,OT
,,QUPA10,OT,OT,OT,OT
,,QUPA4,OT,OT,OT,OT
,,QURU4,OT,OT,OT,OT
,,QUSA2,OT,OT,OT,OT
,,QUTO2,OT,OT,OT,OT
,,QUTU2,OT,OT,OT,OT
,,QUUN,OT,OT,OT,OT
,,QUVA,OT,OT,OT,OT
IO,839,QUWI2,OT,OT,OT,OT
,,QUWIF,OT,OT,OT,OT
,,QUWIW,OT,OT,OT,OT
,,ROBIN,OT,OT,OT,OT
,,ROHI,OT,OT,OT,OT
,,ROHIF8,OT,OT,OT,OT
,,ROHIH,OT,OT,OT,OT
NM,902,RONE,OT,OT,OT,OT
,,RONEN,OT,OT,OT,OT
,,RONER,OT,OT,OT,OT
RP,901,ROPS,OT,OT,OT,OT
S,,,ES,ES,ES,ES
,,SAAL,OT,OT,OT,OT
,,SAAL2,OT,OT,OT,OT
,,SAALA,OT,OT,OT,OT
,,SAALL,OT,OT,OT,OT
,,SAAM2,OT,OT,OT,OT
,,SABA3,OT,OT,OT,OT
,,SABE2,OT,OT,OT,OT
,,SABO,OT,OT,OT,OT
,,SADE2,OT,OT,OT,OT
,,SAER,OT,OT,OT,OT
,,SAEX,OT,OT,OT,OT
,,SAFR,OT,OT,OT,OT
,,SAGE2,OT,OT,OT,OT
,,SAGL,OT,OT,OT,OT
,,SAGLV,OT,OT,OT,OT
,,SAGO,OT,OT,OT,OT
,,SAHO,OT,OT,OT,OT
,,SALA3,OT,OT,OT,OT
,,SALA6,OT,OT,OT,OT
,,SALAB,OT,OT,OT,OT
,,SALAL2,OT,OT,OT,OT
,,SALI,OT,OT,OT,OT
WI,920,SALIX,OT,OT,OT,OT
,,SALU,OT,OT,OT,OT
,,SALU2,OT,OT,OT,OT
,,SALUC,OT,OT,OT,OT
,,SALUL,OT,OT,OT,OT
,,SAMA12,OT,OT,OT,OT
,,SAME2,OT,OT,OT,OT
,,SAMO2,OT,OT,OT,OT
,,SAMY,OT,OT,OT,OT
,,SAPL2,OT,OT,OT,OT
,,SAPLP4,OT,OT,OT,OT
,,SAPR3,OT,OT,OT,OT
SU,928,SASC,OT,OT,OT,OT
,,SASE10,OT,OT,OT,OT
,,SASI2,OT,OT,OT,OT
,,SATA,OT,OT,OT,OT
GS,212,SEGI2,OT,OT,OT,OT
RW,211,SESE3,OT,OT,OT,OT
PY,231,TABR2,OT,OT,OT,OT
OY,230,TAXUS,OT,OT,OT,OT
RC,242,THPL,RC,RC,RC,RC
TS,240,THUJA,RC,RC,RC,RC
CN,251,TOCA,OT,OT,OT,OT
WH,263,TSHE,WH,WH,WH,WH
MH,264,TSME,WH,WH,WH,WH
HS,260,TSUGA,WH,WH,WH,WH
,,UMBEL,OT,OT,OT,OT
CL,981,UMCA,OT,OT,OT,OT
,,UMCAC,OT,OT,OT,OT
,,UMCAF,OT,OT,OT,OT
