species_index,bio_group
1,3
2,3
3,2
4,3
5,3
6,3
7,1
8,1
9,4
10,4
11,4
12,4
13,4
14,4
15,4
16,10
17,5
18,5
19,5
20,6
21,6
22,6
23,10
24,10
25,10
26,10
27,10
28,6
29,10
30,10
31,10
32,10
33,4
34,4
35,4
36,4
37,4
38,6
