forest_idx,species_index,p2,p3,p4
4,21,143.999400,3.512400,-0.551100
4,22,88.183800,2.840400,-0.734300
4,23,123.210700,4.125000,-0.554600
4,24,1709.722900,5.888700,-0.228600
4,25,83.745600,8.331600,-1.048000
4,26,1709.722900,5.888700,-0.228600
4,27,178.644100,4.585200,-0.674600
4,28,59.421400,5.317800,-1.036700
4,29,503.661900,4.954400,-0.208500
4,30,503.661900,4.954400,-0.208500
4,31,89.553500,4.228100,-0.643800
4,32,4421.457700,7.056700,-0.194000
4,33,127.169800,4.897700,-0.466800
4,34,403.322100,4.327100,-0.242200
4,35,55.000000,5.500000,-0.950000
4,36,73.334800,2.654800,-1.246000
4,37,149.586100,2.423100,-0.180000
4,38,1709.722900,5.888700,-0.228600
4,39,1709.722900,5.888700,-0.228600
5,1,380.250500,7.305800,-0.576200
5,2,475.169800,6.247200,-0.481200
5,3,432.218600,6.294100,-0.502800
5,4,133.868900,6.779800,-0.737500
5,5,375.382000,6.088000,-0.472000
5,6,375.382000,6.088000,-0.472000
5,7,483.375100,7.244300,-0.511100
5,8,97.776900,8.820200,-1.053400
5,9,1899.320800,6.941800,-0.255300
5,10,206.321100,9.122700,-0.828100
5,11,127.571400,6.345500,-0.864100
5,12,1031.520300,7.661600,-0.359900
5,13,544.372100,6.880400,-0.463800
5,14,433.780700,6.331800,-0.498800
5,15,1181.724400,6.698100,-0.315100
5,16,316.128300,5.965900,-0.574800
5,17,595.106800,5.810300,-0.382100
5,18,617.762200,5.521300,-0.350800
5,19,608.609800,6.087500,-0.416300
5,20,393.980900,6.393000,-0.475100
5,21,106.029600,3.882100,-0.782900
5,22,88.183800,2.840400,-0.734300
5,23,105.129300,5.134100,-0.789300
5,24,1709.722900,5.888700,-0.228600
5,25,1076.427100,6.146500,-0.282200
5,26,1709.722900,5.888700,-0.228600
5,27,178.644100,4.585200,-0.674600
5,28,55.000000,5.500000,-0.950000
5,29,503.661900,4.954400,-0.208500
5,30,503.661900,4.954400,-0.208500
5,31,89.553500,4.228100,-0.643800
5,32,4421.457700,7.056700,-0.194000
5,33,139.072700,5.206200,-0.540900
5,34,202.974500,3.293600,-0.323300
5,35,55.000000,5.500000,-0.950000
5,36,73.334800,2.654800,-1.246000
5,37,149.586100,2.423100,-0.180000
