species_index,code_alpha,code_fia,code_plants,site_lo,site_hi,dbh_max,bark1,bark2,bark_imap,st_dgmax,st_xmax,st_xmin,st_diam,st_htadj,st_break,ht1,ht2,wykoff_ht2,mort_bkgd_intercept,mort_bkgd_dbh,sdi_max_default,stump,top_dib,dbh_min,scf_min_dbh,scf_top_dib,scf_stump,bf_min_dbh,bf_top_dib,bf_stump,htdbh_iwykca,htdbh_ht1,htdbh_ht2,htdbh_p2,htdbh_p3,htdbh_p4,htdbh_db,varmrt_varadj,is_sprouting
19,WS,94,PIGL,30.0,85.0,20.0,0.9502,-0.2528,3,3.6,2.0,0.5,0.3,1.0,1.0,4.5293,-7.7725,-7.7725,9.6943,-0.0127328,412.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,4.5293,-7.7725,0.0,0.0,0.0,0.0,0.3,0
20,AS,746,POTR5,20.0,100.0,30.0,0.95,0,2,2.5,2.0,0.5,0.2,1.0,1.0,4.4421,-6.5405,-6.5405,5.9617,-0.0340128,562.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,4.4421,-6.5405,0.0,0.0,0.0,0.0,0.9,0
21,NC,749,POAN3,30.0,120.0,36.0,0.892,-0.086,3,2.5,2.0,0.5,0.3,1.0,1.0,4.4421,-6.5405,-6.5405,5.9617,-0.0340128,452.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,4.4421,-6.5405,0.0,0.0,0.0,0.0,0.9,0
22,PW,745,PODEM,30.0,120.0,36.0,0.892,-0.086,3,2.5,2.0,0.5,0.3,1.0,1.0,4.4421,-6.5405,-6.5405,5.9617,-0.0340128,452.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,4.4421,-6.5405,0.0,0.0,0.0,0.0,0.9,0
23,GO,814,QUGA,6.0,40.0,20.0,0.93789,-0.24096,3,2.0,199.0,99.0,0.3,1.0,99.0,4.192,-5.1651,-5.1651,5.9617,-0.0340128,652.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,4.192,-5.1651,0.0,0.0,0.0,0.0,0.7,0
24,AW,803,QUAR,6.0,40.0,20.0,0.93789,-0.24096,3,2.0,199.0,99.0,0.3,1.0,99.0,4.192,-5.1651,-5.1651,5.9617,-0.0340128,403.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,4.192,-5.1651,0.0,0.0,0.0,0.0,0.7,0
25,EM,810,QUEM,6.0,40.0,20.0,0.93789,-0.24096,3,2.0,199.0,99.0,0.3,1.0,99.0,4.192,-5.1651,-5.1651,5.9617,-0.0340128,284.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,4.192,-5.1651,0.0,0.0,0.0,0.0,0.7,0
26,BK,823,QUMA2,6.0,40.0,20.0,0.93789,-0.24096,3,2.0,199.0,99.0,0.3,1.0,99.0,4.192,-5.1651,-5.1651,5.9617,-0.0340128,423.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,4.192,-5.1651,0.0,0.0,0.0,0.0,0.7,0
27,SO,843,QUHY,6.0,40.0,20.0,0.93789,-0.24096,3,2.0,199.0,99.0,0.3,1.0,99.0,4.192,-5.1651,-5.1651,5.9617,-0.0340128,284.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,4.192,-5.1651,0.0,0.0,0.0,0.0,0.7,0
28,PB,375,BEPA,20.0,100.0,30.0,0.95,0,2,2.5,2.0,0.5,0.2,1.0,1.0,4.4421,-6.5405,-6.5405,5.9617,-0.0340128,466.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,4.4421,-6.5405,0.0,0.0,0.0,0.0,0.9,0
