kodfor,fia,veq
211,745,300DVEW999
211,814,200DVEW814
211,803,300DVEW800
211,810,300DVEW800
211,823,200DVEW823
211,843,300DVEW800
211,375,300DVEW999
211,63,300DVEW060
211,66,200DVEW066
211,69,200DVEW069
211,68,300DVEW060
211,133,300DVEW106
211,134,300DVEW106
211,143,300DVEW106
211,118,200FW2W122
211,299,300DVEW060
211,998,200DVEW998
212,19,I00FW2W019
212,18,I00FW2W019
212,202,200FW2W202
212,17,I00FW2W019
212,15,200FW2W015
212,264,407FW2W093
212,242,407FW2W093
212,73,407FW2W093
212,102,200FW2W122
212,113,200FW2W122
212,108,200FW2W108
212,106,200DVEW106
212,122,200FW2W122
212,101,200FW2W122
212,114,200FW2W122
212,65,200DVEW065
212,96,407FW2W093
212,93,407FW2W093
212,94,407FW2W093
212,746,200FW2W746
212,749,300DVEW999
212,745,300DVEW999
212,814,200DVEW814
212,803,300DVEW800
212,810,300DVEW800
212,823,200DVEW823
212,843,300DVEW800
212,375,300DVEW999
212,63,300DVEW060
212,66,200DVEW066
212,69,200DVEW069
212,68,300DVEW060
212,133,300DVEW106
212,134,300DVEW106
212,143,300DVEW106
212,118,200FW2W122
212,299,300DVEW060
212,998,200DVEW998
213,19,I00FW2W019
213,18,I00FW2W019
213,202,200FW2W202
213,17,I00FW2W019
213,15,200FW2W015
213,264,407FW2W093
213,242,407FW2W093
213,73,407FW2W093
213,102,200FW2W122
213,113,200FW2W122
213,108,200FW2W108
213,106,200DVEW106
213,122,213FW2W122
213,101,200FW2W122
213,114,200FW2W122
213,65,200DVEW065
213,96,407FW2W093
213,93,407FW2W093
213,94,407FW2W093
213,746,200FW2W746
213,749,300DVEW999
213,745,300DVEW999
213,814,200DVEW814
213,803,300DVEW800
213,810,300DVEW800
213,823,200DVEW823
213,843,300DVEW800
213,375,300DVEW999
213,63,300DVEW060
213,66,200DVEW066
213,69,200DVEW069
213,68,300DVEW060
213,133,300DVEW106
213,134,300DVEW106
213,143,300DVEW106
213,118,200FW2W122
213,299,300DVEW060
213,998,200DVEW998
214,19,I00FW2W019
214,18,I00FW2W019
214,202,200FW2W202
214,17,I00FW2W019
214,15,200FW2W015
214,264,407FW2W093
214,242,407FW2W093
214,73,407FW2W093
214,102,200FW2W122
214,113,200FW2W122
214,108,202FW2W108
214,106,200DVEW106
214,122,200FW2W122
214,101,200FW2W122
214,114,200FW2W122
214,65,200DVEW065
214,96,407FW2W093
214,93,407FW2W093
214,94,407FW2W093
214,746,200FW2W746
214,749,300DVEW999
214,745,300DVEW999
214,814,200DVEW814
214,803,300DVEW800
214,810,300DVEW800
214,823,200DVEW823
214,843,300DVEW800
214,375,300DVEW999
214,63,300DVEW060
214,66,200DVEW066
214,69,200DVEW069
214,68,300DVEW060
214,133,300DVEW106
214,134,300DVEW106
214,143,300DVEW106
214,118,200FW2W122
214,299,300DVEW060
214,998,200DVEW998
215,19,I00FW2W019
215,18,I00FW2W019
215,202,200FW2W202
215,17,I00FW2W019
215,15,200FW2W015
215,264,407FW2W093
215,242,407FW2W093
215,73,407FW2W093
215,102,200FW2W122
